pos X,pos Y,pos Z,t
0.0,0.0,1.0,0
1.3270332601678092e-05,0.00018823699792847037,1.0011484622955322,1
1.8455970348441042e-05,0.0005362837109714746,1.0037351846694946,2
-6.441960431402549e-05,0.0008712381822988391,1.0077333450317383,3
-0.0005586441839113832,0.0009601021884009242,1.0132218599319458,4
-0.0018941243179142475,0.0005899394163861871,1.020034909248352,5
-0.004619970917701721,-0.0003999875334557146,1.0282201766967773,6
-0.009306634776294231,-0.0020510805770754814,1.037683367729187,7
-0.016397057101130486,-0.004314639139920473,1.0482349395751953,8
-0.026255596429109573,-0.007126677315682173,1.059794545173645,9
-0.039075255393981934,-0.01041465625166893,1.0721648931503296,10
-0.05495074391365051,-0.014115232042968273,1.085170030593872,11
-0.07402052730321884,-0.018202608451247215,1.0987993478775024,12
-0.09634457528591156,-0.022689074277877808,1.112992525100708,13
-0.12182725220918655,-0.02761140465736389,1.1275221109390259,14
-0.15042199194431305,-0.033013395965099335,1.1422240734100342,15
-0.1820993274450302,-0.03894052281975746,1.1569645404815674,16
-0.2168889194726944,-0.0454723946750164,1.1716880798339844,17
-0.25488346815109253,-0.05272556096315384,1.1864198446273804,18
-0.29610294103622437,-0.06081409007310867,1.2011181116104126,19
-0.3404797911643982,-0.06986470520496368,1.215675950050354,20
-0.3879944086074829,-0.08007004857063293,1.2300807237625122,21
-0.4386087656021118,-0.09163735061883926,1.2443623542785645,22
-0.4922475516796112,-0.10480902343988419,1.2585945129394531,23
-0.5487795472145081,-0.11986804753541946,1.2729055881500244,24
-0.607998251914978,-0.13710807263851166,1.2874802350997925,25
-0.6694820523262024,-0.15670272707939148,1.3023731708526611,26
-0.7327761650085449,-0.1788472980260849,1.3176891803741455,27
-0.7973302602767944,-0.20368458330631256,1.3335202932357788,28
-0.8625117540359497,-0.23120523989200592,1.3498214483261108,29
-0.9277358055114746,-0.26144975423812866,1.3666824102401733,30
-0.9924241304397583,-0.2942807078361511,1.384040117263794,31
-1.0559794902801514,-0.32965224981307983,1.40187668800354,32
-1.1177254915237427,-0.36763665080070496,1.4202990531921387,33
-1.1770262718200684,-0.40810099244117737,1.4391899108886719,34
-1.2333095073699951,-0.4508621096611023,1.4584020376205444,35
-1.286085844039917,-0.49564823508262634,1.4777413606643677,36
-1.3348984718322754,-0.5421817898750305,1.4970948696136475,37
-1.3795465230941772,-0.5900753736495972,1.5163164138793945,38
-1.4200013875961304,-0.6389153599739075,1.535304307937622,39
-1.4565670490264893,-0.6882649064064026,1.553917646408081,40
-1.4895570278167725,-0.7377625703811646,1.5721074342727661,41
-1.5193554162979126,-0.7870973348617554,1.5898075103759766,42
-1.5464621782302856,-0.8359870910644531,1.6068520545959473,43
-1.5712487697601318,-0.8842293620109558,1.6231801509857178,44
-1.5940542221069336,-0.9316494464874268,1.638734221458435,45
-1.6151195764541626,-0.9780881404876709,1.6535202264785767,46
-1.6346324682235718,-1.0234321355819702,1.667595624923706,47
-1.6528626680374146,-1.067621111869812,1.6808311939239502,48
-1.6699638366699219,-1.110597848892212,1.693289875984192,49
-1.6861064434051514,-1.1523070335388184,1.704973816871643,50
-1.7015188932418823,-1.192807912826538,1.7156349420547485,51
-1.716246247291565,-1.2319945096969604,1.7255971431732178,52
-1.7304165363311768,-1.2698898315429688,1.7348699569702148,53
-1.744174599647522,-1.3066165447235107,1.7432581186294556,54
-1.7576267719268799,-1.3422050476074219,1.7506989240646362,55
-1.7708252668380737,-1.3766480684280396,1.757254958152771,56
-1.7838191986083984,-1.4099174737930298,1.763074278831482,57
-1.7966361045837402,-1.4420197010040283,1.7682281732559204,58
-1.8092840909957886,-1.4729613065719604,1.7728148698806763,59
-1.821828842163086,-1.502746820449829,1.7768340110778809,60
-1.8342727422714233,-1.5313098430633545,1.780526041984558,61
-1.8466072082519531,-1.5586345195770264,1.783968448638916,62
-1.8588720560073853,-1.5847446918487549,1.7870992422103882,63
-1.8710944652557373,-1.6096551418304443,1.7898927927017212,64
-1.8833128213882446,-1.633248209953308,1.7926034927368164,65
-1.8955347537994385,-1.6554527282714844,1.7953457832336426,66
-1.907814860343933,-1.676224946975708,1.7981516122817993,67
-1.9202146530151367,-1.6955430507659912,1.8009998798370361,68
-1.9327633380889893,-1.7134312391281128,1.8037545680999756,69
-1.9455665349960327,-1.7298133373260498,1.8065605163574219,70
-1.9587352275848389,-1.7446644306182861,1.809505581855774,71
