T1,T2,T3,T4,t
0.09254535287618637,0.07898703962564468,0.11336225271224976,0.10401418060064316,0
0.058544907718896866,0.1055511087179184,0.10253959894180298,0.12246431410312653,1
0.055264707654714584,0.12195774167776108,0.08176447451114655,0.11918529123067856,2
0.04756897687911987,0.14473222196102142,0.06626666337251663,0.12836715579032898,3
0.0673174262046814,0.1391686499118805,0.06574481725692749,0.11510470509529114,4
0.07616208493709564,0.140809565782547,0.058380719274282455,0.1225106343626976,5
0.08172201365232468,0.13482898473739624,0.05812614783644676,0.1252165287733078,6
0.09481325000524521,0.11924034357070923,0.07393135130405426,0.11947131156921387,7
0.08249595761299133,0.12909933924674988,0.07349763065576553,0.12948720157146454,8
0.10365588963031769,0.1018994152545929,0.088702492415905,0.1106427013874054,9
0.08722157031297684,0.11148828268051147,0.0811491534113884,0.1126227080821991,10
0.08755986392498016,0.11317411065101624,0.08681551367044449,0.11435161530971527,11
0.08560154587030411,0.11142344027757645,0.08493916690349579,0.11210057884454727,12
