l_vel X,l_vel Y,l_vel Z,t
0.5320175290107727,-0.24978889524936676,-0.1902664303779602,0
0.0008534098160453141,0.012175238691270351,0.08644279837608337,1
0.0009901085868477821,0.018649112433195114,0.1653524786233902,2
-0.011245308443903923,0.013317891396582127,0.2343607395887375,3
-0.0372200533747673,-0.004391096066683531,0.3042079508304596,4
-0.08586446195840836,-0.031966857612133026,0.3687771260738373,5
-0.16326187551021576,-0.06625134497880936,0.4372938275337219,6
-0.2672421634197235,-0.10014840215444565,0.49664196372032166,7
-0.39089030027389526,-0.12995339930057526,0.5447570085525513,8
-0.5291997194290161,-0.15419135987758636,0.58775395154953,9
-0.6804834008216858,-0.1756230890750885,0.6305152773857117,10
-0.8373982310295105,-0.1943138986825943,0.666231095790863,11
-0.9972022175788879,-0.212297722697258,0.6951870918273926,12
-1.1579409837722778,-0.23099802434444427,0.7167134881019592,13
-1.3116717338562012,-0.25085315108299255,0.7242211699485779,14
-1.4743037223815918,-0.2739948332309723,0.7372937798500061,15
-1.6348847150802612,-0.3007497489452362,0.7439034581184387,16
-1.790515661239624,-0.3312912881374359,0.7411526441574097,17
-1.9492615461349487,-0.3682009279727936,0.7384562492370605,18
-2.1083662509918213,-0.41197657585144043,0.7333153486251831,19
-2.2690682411193848,-0.4647481143474579,0.7292613387107849,20
-2.4280402660369873,-0.5290115475654602,0.7249438166618347,21
-2.581822395324707,-0.6043605804443359,0.7206758856773376,22
-2.735535144805908,-0.697942852973938,0.7274930477142334,23
-2.8750815391540527,-0.802925169467926,0.7370743155479431,24
-2.998537063598633,-0.9184304475784302,0.7512891888618469,25
-3.1022751331329346,-1.0465590953826904,0.7744053602218628,26
-3.176339626312256,-1.1769942045211792,0.7927728891372681,27
-3.2216854095458984,-1.3074334859848022,0.8091203570365906,28
-3.243237018585205,-1.444657325744629,0.8393620252609253,29
-3.236920118331909,-1.5743893384933472,0.8636794090270996,30
-3.2033987045288086,-1.6977908611297607,0.8851569890975952,31
-3.1406335830688477,-1.8228095769882202,0.9101528525352478,32
-3.0498087406158447,-1.9430298805236816,0.9283411502838135,33
-2.9184257984161377,-2.0713720321655273,0.9572781324386597,34
-2.7656471729278564,-2.1825482845306396,0.9693377614021301,35
-2.5826804637908936,-2.2840158939361572,0.9794596433639526,36
-2.3835055828094482,-2.365673303604126,0.9818275570869446,37
-2.1820898056030273,-2.424287796020508,0.9771702885627747,38
-1.9925543069839478,-2.458528995513916,0.9613249897956848,39
-1.805176019668579,-2.4754326343536377,0.9502454400062561,40
-1.6383875608444214,-2.4739482402801514,0.932477593421936,41
-1.497490406036377,-2.4582414627075195,0.9039503931999207,42
-1.3719866275787354,-2.4287843704223633,0.8745743632316589,43
-1.259299635887146,-2.3891823291778564,0.8462467193603516,44
-1.1645448207855225,-2.342229127883911,0.8104841709136963,45
-1.084408164024353,-2.289790391921997,0.7682422995567322,46
-1.005537748336792,-2.229212522506714,0.739715576171875,47
-0.9420231580734253,-2.1671063899993896,0.6993896961212158,48
-0.8868422508239746,-2.1033935546875,0.6582778692245483,49
-0.8430234789848328,-2.0420215129852295,0.6056861281394958,50
-0.8013758659362793,-1.9745956659317017,0.567372739315033,51
-0.7665327787399292,-1.9101403951644897,0.5272228121757507,52
-0.7377893924713135,-1.8475703001022339,0.48684561252593994,53
-0.7186468839645386,-1.7930288314819336,0.4224936068058014,54
-0.6975455284118652,-1.732484221458435,0.38492289185523987,55
-0.6824615001678467,-1.6784272193908691,0.334627240896225,56
-0.6649488210678101,-1.6162877082824707,0.32027167081832886,57
-0.6560843586921692,-1.5640274286270142,0.27261829376220703,58
-0.6461937427520752,-1.5069512128829956,0.24999776482582092,59
-0.6379515528678894,-1.4519436359405518,0.22431325912475586,60
-0.632789671421051,-1.3999327421188354,0.18775272369384766,61
-0.6253384947776794,-1.3373512029647827,0.17948250472545624,62
-0.6217659711837769,-1.2774426937103271,0.16026219725608826,63
-0.617506742477417,-1.2151875495910645,0.1459415704011917,64
-0.6147286295890808,-1.1428883075714111,0.150760218501091,65
-0.6149470210075378,-1.0706733465194702,0.14988194406032562,66
-0.6180182695388794,-0.9945904612541199,0.15822352468967438,67
-0.6258029937744141,-0.921863853931427,0.15877124667167664,68
-0.6377977132797241,-0.8447820544242859,0.17015084624290466,69
-0.652561604976654,-0.7699565887451172,0.18215411901474,70
-0.671525776386261,-0.6958822011947632,0.19370678067207336,71
-0.6969527006149292,-0.6268367767333984,0.20284442603588104,72
-0.7318608164787292,-0.5568923354148865,0.23034268617630005,73
-0.7659677863121033,-0.5000976324081421,0.23717764019966125,74
-0.8004553914070129,-0.4516202211380005,0.235586479306221,75
-0.8383916616439819,-0.41006138920783997,0.24124260246753693,76
-0.8860044479370117,-0.37408652901649475,0.27180513739585876,77
-0.9278647899627686,-0.3511371612548828,0.27686822414398193,78
-0.9712800979614258,-0.337616890668869,0.2923426628112793,79
-1.006761908531189,-0.3345107436180115,0.2923702001571655,80
-1.0412925481796265,-0.3407979905605316,0.303648978471756,81
-1.0669043064117432,-0.35419556498527527,0.2942538559436798,82
-1.0880045890808105,-0.37689802050590515,0.29124823212623596,83
-1.1077207326889038,-0.41128942370414734,0.3017255365848541,84
-1.1173542737960815,-0.44749197363853455,0.302961140871048,85
-1.1190458536148071,-0.4819301664829254,0.2752631604671478,86
-1.1152563095092773,-0.5214903950691223,0.25384965538978577,87
