total thrust f,t
0.39110907912254333,0
0.39323025941848755,1
0.3864729106426239,2
0.38230282068252563,3
0.3826533257961273,4
0.3941514790058136,5
0.38670068979263306,6
0.4010852575302124,7
0.4080801010131836,8
0.40228691697120667,9
0.4024461805820465,10
0.4000709354877472,11
0.397927463054657,12
0.3767147660255432,13
0.38296619057655334,14
0.37816867232322693,15
0.38240405917167664,16
0.390007883310318,17
0.3888760805130005,18
0.3805692791938782,19
0.38635140657424927,20
0.3823263347148895,21
0.39939677715301514,22
0.4106352627277374,23
0.41011589765548706,24
0.4079344570636749,25
0.4082223176956177,26
0.4130822718143463,27
0.38398194313049316,28
0.38917142152786255,29
0.38409531116485596,30
0.3798511028289795,31
0.4024040102958679,32
0.4031122028827667,33
0.4113391935825348,34
0.4165917932987213,35
0.4096693694591522,36
0.40427538752555847,37
0.37913912534713745,38
0.3523060083389282,39
0.33091387152671814,40
0.29441916942596436,41
0.29061269760131836,42
0.27729400992393494,43
0.2661922872066498,44
0.25598087906837463,45
0.2543746829032898,46
0.2434297502040863,47
0.22924701869487762,48
0.2397967427968979,49
0.21648478507995605,50
0.2314298450946808,51
0.21390563249588013,52
0.22730545699596405,53
0.21263794600963593,54
