total thrust f,t
0.3967002034187317,0
0.3592522442340851,1
0.3586673140525818,2
0.3665928542613983,3
0.3792479336261749,4
0.3826718032360077,5
0.4047982692718506,6
0.39651283621788025,7
0.38454464077949524,8
0.3881997764110565,9
0.3854875862598419,10
0.38360804319381714,11
0.3657372295856476,12
0.36042723059654236,13
0.3678700625896454,14
0.35252320766448975,15
0.35295599699020386,16
0.3707787096500397,17
0.3758193850517273,18
0.3746851086616516,19
0.38595688343048096,20
0.4210284650325775,21
0.41509830951690674,22
0.43176254630088806,23
0.42653095722198486,24
0.4415746033191681,25
0.42641299962997437,26
0.4343710243701935,27
0.44223809242248535,28
0.44184014201164246,29
0.42830145359039307,30
0.4200440049171448,31
0.42834192514419556,32
0.43963536620140076,33
0.44933125376701355,34
0.44541144371032715,35
0.46270355582237244,36
0.4579712748527527,37
0.43290725350379944,38
0.4191228747367859,39
0.3839119076728821,40
0.36662232875823975,41
0.3222249746322632,42
0.2938399910926819,43
0.24999122321605682,44
0.2201545685529709,45
0.23172631859779358,46
0.22003011405467987,47
0.22649210691452026,48
0.23632995784282684,49
0.24587373435497284,50
0.2521868646144867,51
0.267896831035614,52
0.27652716636657715,53
0.2664691209793091,54
0.2636924982070923,55
0.2868106961250305,56
0.27904176712036133,57
0.28665563464164734,58
0.29340681433677673,59
0.2825513780117035,60
0.3132232129573822,61
0.3108748197555542,62
0.3288212716579437,63
0.332928329706192,64
0.3392044007778168,65
0.34561580419540405,66
0.3605356812477112,67
0.33753857016563416,68
0.35231930017471313,69
0.35818859934806824,70
0.342641144990921,71
0.34020301699638367,72
0.3690871000289917,73
0.3260836601257324,74
0.3619685769081116,75
0.3507829010486603,76
0.3222050368785858,77
0.36587390303611755,78
0.33498188853263855,79
0.35373324155807495,80
0.3339931070804596,81
0.33126354217529297,82
0.3460039496421814,83
0.3307931423187256,84
0.34835338592529297,85
0.357822060585022,86
0.34131115674972534,87
0.32265758514404297,88
0.3217298686504364,89
0.30983319878578186,90
0.28652459383010864,91
0.30471307039260864,92
0.29366767406463623,93
0.28023606538772583,94
0.2669827938079834,95
0.26137009263038635,96
0.2720908224582672,97
0.2767002582550049,98
0.26604995131492615,99
0.2668626606464386,100
0.2748787999153137,101
0.2880011796951294,102
0.27795788645744324,103
0.27960819005966187,104
0.2815227806568146,105
0.2809256613254547,106
0.27630123496055603,107
0.2786521017551422,108
0.3013509213924408,109
0.2823926508426666,110
0.30924421548843384,111
0.3057298958301544,112
0.2945343852043152,113
0.29884809255599976,114
0.32003965973854065,115
0.2939295172691345,116
0.3098162114620209,117
0.3200427293777466,118
0.3226817846298218,119
0.3289858400821686,120
0.33772268891334534,121
0.2945721745491028,122
0.33299684524536133,123
0.3257913291454315,124
0.31364503502845764,125
0.32550644874572754,126
0.3301757276058197,127
0.342314213514328,128
0.3074013888835907,129
0.3065352439880371,130
0.3320087194442749,131
0.32111191749572754,132
0.3104121685028076,133
0.30014145374298096,134
0.2919248044490814,135
0.28577107191085815,136
0.30469971895217896,137
0.28382259607315063,138
0.30159831047058105,139
0.2944941818714142,140
0.2995143532752991,141
0.2777498960494995,142
0.2867112159729004,143
0.2963410019874573,144
0.30192968249320984,145
0.2702161967754364,146
0.2904602587223053,147
0.29254835844039917,148
0.2888064384460449,149
0.26942452788352966,150
0.28047382831573486,151
0.2803986668586731,152
0.288894921541214,153
0.277615487575531,154
0.29295614361763,155
0.2741750180721283,156
0.29205644130706787,157
0.27433937788009644,158
0.30785584449768066,159
0.2844545245170593,160
0.29274454712867737,161
0.29877448081970215,162
0.2933315932750702,163
0.3295566737651825,164
0.3001253604888916,165
0.3051050007343292,166
0.31098484992980957,167
0.31052836775779724,168
0.31567519903182983,169
0.3150409162044525,170
0.3210662603378296,171
0.30127570033073425,172
0.33444744348526,173
0.31979402899742126,174
0.32512903213500977,175
0.3271771967411041,176
0.3506253957748413,177
0.32873472571372986,178
0.32425206899642944,179
0.33540698885917664,180
0.3253587484359741,181
0.33684873580932617,182
0.3143734335899353,183
0.34486326575279236,184
0.3001314401626587,185
0.3019386827945709,186
0.3397679924964905,187
0.30987393856048584,188
0.29538121819496155,189
0.3280377686023712,190
0.29941099882125854,191
0.31272614002227783,192
0.30455952882766724,193
0.2837943434715271,194
0.291506826877594,195
0.2871292531490326,196
0.2962817847728729,197
0.27805203199386597,198
0.28776657581329346,199
0.3046943247318268,200
0.316360741853714,201
0.2911950945854187,202
0.2936651110649109,203
0.2841281294822693,204
0.29823020100593567,205
0.2823866903781891,206
0.30574584007263184,207
0.28511789441108704,208
0.2988707423210144,209
0.2809184193611145,210
0.2952262759208679,211
0.2753528952598572,212
0.2933848798274994,213
0.29622429609298706,214
0.28479665517807007,215
0.28562963008880615,216
0.28617990016937256,217
0.29914265871047974,218
0.30202430486679077,219
0.31250059604644775,220
0.3071863651275635,221
0.30698585510253906,222
0.3060748279094696,223
0.3065119683742523,224
0.3002104163169861,225
0.32457321882247925,226
0.3313552439212799,227
0.3157857656478882,228
0.30615031719207764,229
0.34808629751205444,230
0.3111150860786438,231
0.3254435956478119,232
0.3376519978046417,233
0.344140887260437,234
0.3341120779514313,235
0.30895745754241943,236
0.3222055733203888,237
0.3359721899032593,238
0.32691243290901184,239
0.320811927318573,240
0.30521392822265625,241
0.33319544792175293,242
0.30413830280303955,243
0.31478777527809143,244
0.32068008184432983,245
0.3010183274745941,246
0.327009916305542,247
0.29000651836395264,248
0.30148375034332275,249
0.3006611466407776,250
0.3179273307323456,251
0.2960417866706848,252
0.2901383340358734,253
0.2779557704925537,254
