a_vel X,a_vel Y,a_vel Z,t
0.5926222801208496,-0.4014844596385956,6.819075107574463,0
1.0349708795547485,-0.5794277191162109,-0.12778396904468536,1
1.9796282052993774,-2.6745970249176025,0.24444812536239624,2
1.8260055780410767,-5.414306163787842,0.5627784729003906,3
0.9427807331085205,-6.562049388885498,0.6505409479141235,4
-0.07034234702587128,-5.603271484375,0.6654617786407471,5
-0.7498448491096497,-4.402369499206543,0.8253787755966187,6
-1.3594900369644165,-2.906235694885254,1.1073546409606934,7
-1.4846171140670776,-1.6472092866897583,1.4362130165100098,8
-1.6315239667892456,-0.9015722870826721,1.7486590147018433,9
-1.5692403316497803,-0.4374968409538269,2.047502040863037,10
-1.5435779094696045,-0.4246842861175537,2.311319589614868,11
-1.3552196025848389,-0.41082221269607544,2.5586156845092773,12
-1.2353789806365967,-0.5272508859634399,2.764946460723877,13
-1.3074867725372314,-0.7504076957702637,2.9147160053253174,14
-1.3124717473983765,-0.9599898457527161,3.1334540843963623,15
-1.1635335683822632,-1.2301583290100098,3.5032975673675537,16
-1.2885841131210327,-1.2365562915802002,3.7354722023010254,17
-1.0289506912231445,-1.3479220867156982,4.247987747192383,18
-1.1112377643585205,-1.329634666442871,4.687157154083252,19
-1.399596095085144,-0.9963803887367249,5.01970911026001,20
-1.1426962614059448,-0.9178650379180908,5.695917129516602,21
-1.1157562732696533,-0.734787106513977,6.29946756362915,22
-1.0131731033325195,-0.4215905964374542,6.923949241638184,23
-0.9154344201087952,-0.12680016458034515,7.4685516357421875,24
-1.4405637979507446,0.35962942242622375,7.702377796173096,25
-1.074579119682312,0.6686244010925293,8.086970329284668,26
-1.2153620719909668,0.876641571521759,8.12678050994873,27
-1.432959794998169,1.0773199796676636,8.178089141845703,28
-1.0267713069915771,1.1911900043487549,8.028672218322754,29
-0.6020375490188599,1.2976651191711426,7.963590145111084,30
-0.03741878271102905,1.502315640449524,7.927980899810791,31
0.8034281134605408,1.7083196640014648,7.73173189163208,32
1.8447548151016235,2.1633009910583496,7.662586688995361,33
3.005607843399048,2.502394437789917,7.3946733474731445,34
3.5167222023010254,2.475498914718628,7.32525634765625,35
3.8614492416381836,2.0387229919433594,7.214840412139893,36
3.991554021835327,1.1475800275802612,6.9576287269592285,37
3.816887855529785,0.5788819193840027,6.9475603103637695,38
3.558809280395508,-0.31870540976524353,6.779123783111572,39
3.3419859409332275,-1.200027346611023,6.6619672775268555,40
2.9509503841400146,-1.4771279096603394,6.639126300811768,41
2.500065803527832,-1.8818856477737427,6.900756359100342,42
2.3655073642730713,-2.4240570068359375,6.54141902923584,43
2.0384557247161865,-3.098977565765381,6.419412136077881,44
1.4005597829818726,-3.028930425643921,6.631129741668701,45
1.6401946544647217,-3.146711826324463,6.248354911804199,46
0.2958131730556488,-2.218951940536499,6.5645928382873535,47
1.0077043771743774,-2.5537326335906982,6.334967613220215,48
0.6784233450889587,-1.9618165493011475,5.843275547027588,49
0.3642520606517792,-1.9023009538650513,5.652441024780273,50
0.09990616887807846,-0.8238204121589661,5.053642272949219,51
-0.49249956011772156,-0.685502290725708,4.950719833374023,52
0.03289926424622536,-0.4358370304107666,4.777599334716797,53
-0.41109514236450195,0.06903839856386185,4.369329929351807,54
-0.3907715380191803,0.03910716623067856,4.273403167724609,55
-0.621418297290802,0.7157213687896729,3.887648582458496,56
