pos X,pos Y,pos Z,t
0.0,0.0,1.0,0
2.824404145940207e-05,-0.00012829802290070802,1.0011852979660034,1
-1.5178195553744445e-06,-0.0005274533177725971,1.0036506652832031,2
-0.00019557212362997234,-0.001355798332951963,1.0072818994522095,3
-0.0006988138193264604,-0.002778258640319109,1.0120435953140259,4
-0.0017477711662650108,-0.004974913317710161,1.0178314447402954,5
-0.0035741296596825123,-0.008108610287308693,1.0246520042419434,6
-0.0063942777924239635,-0.012293864041566849,1.0324745178222656,7
-0.010456209070980549,-0.017610276117920876,1.0413057804107666,8
-0.01600121334195137,-0.024058399721980095,1.0510358810424805,9
-0.023247575387358665,-0.03155616298317909,1.0614192485809326,10
-0.03252483904361725,-0.040009982883930206,1.0726020336151123,11
-0.044035524129867554,-0.049284428358078,1.0844194889068604,12
-0.05799240618944168,-0.0592491552233696,1.0967344045639038,13
-0.07457251101732254,-0.06979349255561829,1.1093980073928833,14
-0.09397240728139877,-0.08083439618349075,1.1222970485687256,15
-0.11630557477474213,-0.09234261512756348,1.1352407932281494,16
-0.1417032778263092,-0.10434765368700027,1.1480835676193237,17
-0.17023788392543793,-0.11690787971019745,1.1606520414352417,18
-0.20189912617206573,-0.13015764951705933,1.1726959943771362,19
-0.23683381080627441,-0.14427423477172852,1.1841487884521484,20
-0.27513596415519714,-0.15945252776145935,1.1949595212936401,21
-0.31688904762268066,-0.1759452223777771,1.205136775970459,22
-0.36215269565582275,-0.1940251737833023,1.2147783041000366,23
-0.41079390048980713,-0.21393366158008575,1.2239441871643066,24
-0.4626789689064026,-0.23596340417861938,1.2328070402145386,25
-0.5176375508308411,-0.2604425549507141,1.2416677474975586,26
-0.5753300786018372,-0.2877018451690674,1.250793695449829,27
-0.6352891325950623,-0.31798771023750305,1.2605012655258179,28
-0.6969048380851746,-0.35137391090393066,1.27102530002594,29
-0.759478747844696,-0.3878345489501953,1.2825175523757935,30
-0.8222163915634155,-0.4271986484527588,1.2950202226638794,31
-0.8844341039657593,-0.4693046808242798,1.308791995048523,32
-0.9454743266105652,-0.5138078927993774,1.3239402770996094,33
-1.0047873258590698,-0.5602031350135803,1.3403122425079346,34
-1.0619711875915527,-0.6079967021942139,1.3576258420944214,35
-1.116377353668213,-0.6569823622703552,1.3760570287704468,36
-1.1674554347991943,-0.7069329023361206,1.395598292350769,37
-1.2147358655929565,-0.7576057314872742,1.416162371635437,38
-1.2579200267791748,-0.8087328672409058,1.4375197887420654,39
-1.2966886758804321,-0.8600748181343079,1.459547996520996,40
-1.3309094905853271,-0.9113478660583496,1.4820570945739746,41
-1.3607597351074219,-0.9622458219528198,1.50482976436615,42
-1.3864881992340088,-1.012441873550415,1.5276398658752441,43
-1.4084395170211792,-1.061682105064392,1.550364375114441,44
-1.426947832107544,-1.1096588373184204,1.5728658437728882,45
-1.4427663087844849,-1.1563496589660645,1.5947493314743042,46
-1.4563188552856445,-1.201577067375183,1.6158040761947632,47
-1.4678958654403687,-1.2451659440994263,1.636039137840271,48
-1.4778575897216797,-1.287030577659607,1.6553541421890259,49
