pos X,pos Y,pos Z,t
0.0,0.0,1.0,0
2.9540082323364913e-05,-0.00016426545334979892,0.9988691806793213,1
2.721817509154789e-05,-0.0005282068741507828,0.9963465332984924,2
-5.067189704277553e-05,-0.0011067107552662492,0.9925189018249512,3
-0.0002781724324449897,-0.0019177572103217244,0.9880126714706421,4
-0.0007601483375765383,-0.0029687441419810057,0.9830669164657593,5
-0.0016263253055512905,-0.004287146497517824,0.9779520034790039,6
-0.0030377614311873913,-0.00591744901612401,0.9730044603347778,7
-0.005185472313314676,-0.00795590877532959,0.9688106179237366,8
-0.00818638876080513,-0.010463295504450798,0.9656646847724915,9
-0.012193144299089909,-0.01347101666033268,0.9638554453849792,10
-0.01734638586640358,-0.01704043708741665,0.963725745677948,11
-0.023745644837617874,-0.02121867798268795,0.9655582904815674,12
-0.031388480216264725,-0.025996528565883636,0.9693590402603149,13
-0.04023485630750656,-0.03135690465569496,0.9751712679862976,14
-0.050220388919115067,-0.03729260712862015,0.9830517768859863,15
-0.061208244413137436,-0.043784867972135544,0.9929277896881104,16
-0.07302697747945786,-0.050801753997802734,1.004481315612793,17
-0.08550816774368286,-0.058331914246082306,1.0173243284225464,18
-0.09848149120807648,-0.06635777652263641,1.0309213399887085,19
-0.11186444014310837,-0.07491841167211533,1.0452792644500732,20
-0.1254853457212448,-0.08401253074407578,1.0598801374435425,21
-0.13923494517803192,-0.09365791082382202,1.074533462524414,22
-0.15300224721431732,-0.10386785119771957,1.0890859365463257,23
-0.1666722446680069,-0.11464065313339233,1.103312373161316,24
-0.1801486760377884,-0.12597669661045074,1.1170189380645752,25
-0.19336660206317902,-0.137852281332016,1.1298472881317139,26
-0.20626771450042725,-0.15028181672096252,1.1417702436447144,27
-0.2188299149274826,-0.1632387787103653,1.1525517702102661,28
-0.23103293776512146,-0.17673735320568085,1.1622588634490967,29
-0.24289610981941223,-0.19073034822940826,1.1705714464187622,30
-0.25442400574684143,-0.20520304143428802,1.1774426698684692,31
-0.2655758857727051,-0.22021223604679108,1.1832722425460815,32
-0.2762991786003113,-0.2357892543077469,1.1884756088256836,33
-0.28659558296203613,-0.25193148851394653,1.1931898593902588,34
-0.29650169610977173,-0.26861417293548584,1.1975321769714355,35
-0.3060702979564667,-0.28583547472953796,1.201733946800232,36
-0.31540176272392273,-0.30354124307632446,1.2056859731674194,37
-0.3245837986469269,-0.3216891288757324,1.209466576576233,38
-0.333710640668869,-0.3402530252933502,1.2132757902145386,39
-0.34285402297973633,-0.35919544100761414,1.2173116207122803,40
-0.35208502411842346,-0.3784670829772949,1.2215089797973633,41
-0.36146336793899536,-0.39803385734558105,1.2259966135025024,42
-0.37102484703063965,-0.41787177324295044,1.2309728860855103,43
-0.3807772397994995,-0.43794578313827515,1.2360972166061401,44
-0.39072614908218384,-0.45824193954467773,1.2413326501846313,45
-0.40086543560028076,-0.47876083850860596,1.2467249631881714,46
-0.4111751317977905,-0.49952009320259094,1.2525274753570557,47
-0.42160913348197937,-0.5205195546150208,1.258194923400879,48
-0.4321427047252655,-0.5417729616165161,1.2637640237808228,49
-0.44273871183395386,-0.5633177757263184,1.269399642944336,50
-0.45336320996284485,-0.5851635932922363,1.2747271060943604,51
-0.4639813303947449,-0.6073179244995117,1.2796260118484497,52
-0.47457653284072876,-0.6297706961631775,1.283656120300293,53
-0.48511701822280884,-0.6525629758834839,1.2870943546295166,54
-0.4955829083919525,-0.6756835579872131,1.2896579504013062,55
-0.5059630274772644,-0.699124813079834,1.2911419868469238,56
-0.5162364840507507,-0.7229080200195312,1.2916775941848755,57
-0.5263769030570984,-0.7470456957817078,1.2913874387741089,58
-0.5363844633102417,-0.7715173363685608,1.2900725603103638,59
-0.5462639927864075,-0.7963253855705261,1.287803053855896,60
-0.555994987487793,-0.8214782476425171,1.2849042415618896,61
-0.5656026601791382,-0.8469502925872803,1.2813196182250977,62
-0.5751087069511414,-0.8727144598960876,1.277179479598999,63
-0.5845175385475159,-0.898734450340271,1.27268385887146,64
-0.5938708782196045,-0.9249739646911621,1.2680596113204956,65
-0.6032010316848755,-0.9513646960258484,1.2628803253173828,66
-0.6125591993331909,-0.9778556227684021,1.25690495967865,67
-0.6219683289527893,-1.0044058561325073,1.2507177591323853,68
-0.631462037563324,-1.0309840440750122,1.2445682287216187,69
-0.6410626769065857,-1.0575463771820068,1.2387653589248657,70
-0.6507841944694519,-1.084053874015808,1.233031988143921,71
-0.6606436371803284,-1.1104779243469238,1.2271778583526611,72
-0.670660674571991,-1.1367735862731934,1.2213348150253296,73
-0.6808500289916992,-1.1629022359848022,1.2158379554748535,74
-0.6912108659744263,-1.1888604164123535,1.2105227708816528,75
-0.7017458081245422,-1.2146234512329102,1.2054862976074219,76
-0.7124457359313965,-1.2401914596557617,1.2005897760391235,77
-0.7233065366744995,-1.2655644416809082,1.1956819295883179,78
-0.7343326210975647,-1.29073166847229,1.1909630298614502,79
-0.7455112338066101,-1.3156957626342773,1.1864707469940186,80
-0.7568342089653015,-1.3404695987701416,1.1821212768554688,81
-0.7682843804359436,-1.3650847673416138,1.1775758266448975,82
-0.7798599004745483,-1.3895294666290283,1.173028826713562,83
-0.7915340662002563,-1.4137974977493286,1.1686962842941284,84
-0.8032816052436829,-1.437921404838562,1.164245843887329,85
-0.8150919675827026,-1.4619337320327759,1.1594133377075195,86
-0.82696533203125,-1.4858390092849731,1.15436851978302,87
-0.8388746380805969,-1.5096558332443237,1.1488759517669678,88
-0.8508087396621704,-1.533394694328308,1.142982006072998,89
