T1,T2,T3,T4,t
0.05795162916183472,0.017849260941147804,0.07795156538486481,0.016588950529694557,0
0.07559303939342499,0.011526720598340034,0.07260075211524963,0.020714739337563515,1
0.070068359375,0.0200990978628397,0.07415822893381119,0.020078295841813087,2
0.08908654749393463,0.0269862562417984,0.09664656221866608,0.028593190014362335,3
0.08165246248245239,0.03712113946676254,0.08245934545993805,0.04361457750201225,4
0.08635427057743073,0.046384312212467194,0.08471845835447311,0.05239320546388626,5
0.08601094782352448,0.06256172060966492,0.07840194553136826,0.06773331761360168,6
0.10514256358146667,0.07354296743869781,0.0977320745587349,0.06769955158233643,7
0.0847635418176651,0.0932970941066742,0.08736226707696915,0.09218193590641022,8
0.09248187392950058,0.10277481377124786,0.08337561041116714,0.10474501550197601,9
0.09614818543195724,0.11368723213672638,0.09121645987033844,0.10923480987548828,10
0.10322204232215881,0.11854185909032822,0.09713764488697052,0.11188539117574692,11
0.09216981381177902,0.12575817108154297,0.0861353874206543,0.12184284627437592,12
0.09375181794166565,0.12505921721458435,0.08873826265335083,0.12450268119573593,13
0.10446226596832275,0.11852169781923294,0.09819643944501877,0.11427230387926102,14
0.09777921438217163,0.11468775570392609,0.09796847403049469,0.11620303988456726,15
0.08465919643640518,0.11464420706033707,0.08168533444404602,0.11771895736455917,16
0.07737129926681519,0.10814207047224045,0.07626849412918091,0.10903475433588028,17
0.05895291268825531,0.10478092730045319,0.05713295191526413,0.10819149017333984,18
0.08140406012535095,0.09650788456201553,0.07333553582429886,0.09234505146741867,19
0.04870440810918808,0.09367343783378601,0.05200512334704399,0.09510424733161926,20
0.0636780634522438,0.08414629846811295,0.05974161997437477,0.0818769708275795,21
0.06209135800600052,0.07673671841621399,0.060825057327747345,0.07519201934337616,22
0.05698760598897934,0.07032337784767151,0.05866038426756859,0.07253633439540863,23
0.0640672966837883,0.056884247809648514,0.06639543175697327,0.05843975022435188,24
0.0507257916033268,0.054500333964824677,0.05430261790752411,0.05678688734769821,25
0.06826966255903244,0.03962894156575203,0.07471222430467606,0.041034992784261703,26
0.05185416340827942,0.043938346207141876,0.056817613542079926,0.04604184627532959,27
0.06661714613437653,0.03901896998286247,0.06839761137962341,0.03878683224320412,28
0.043048299849033356,0.04347480461001396,0.04641372337937355,0.04411161318421364,29
0.049531832337379456,0.04257289692759514,0.04926374554634094,0.04216984286904335,30
0.07029757648706436,0.03906627371907234,0.07375531643629074,0.03548028692603111,31
0.07868782430887222,0.03887037932872772,0.08436232805252075,0.04377046227455139,32
0.08023998886346817,0.03918035328388214,0.0881398394703865,0.04139441251754761,33
0.08237152546644211,0.04242425784468651,0.08538756519556046,0.047644615173339844,34
0.08744881302118301,0.04689057171344757,0.09284238517284393,0.04855640232563019,35
0.07231411337852478,0.056868620216846466,0.07136909663677216,0.05785820633172989,36
0.07174097001552582,0.06349754333496094,0.0702303797006607,0.06522342562675476,37
0.07346154004335403,0.07252680510282516,0.06939080357551575,0.06960093230009079,38
0.07402870804071426,0.07535022497177124,0.07189597189426422,0.07736966013908386,39
0.06479045003652573,0.08300210535526276,0.05924772098660469,0.08099526166915894,40
0.06854333728551865,0.08717799931764603,0.06324502825737,0.08493342250585556,41
0.0725003331899643,0.08714152872562408,0.06907807290554047,0.08879788219928741,42
0.05375271290540695,0.09062869846820831,0.04912032186985016,0.08778712153434753,43
0.05849689245223999,0.08938717842102051,0.054056935012340546,0.08807213604450226,44
0.059837039560079575,0.08925112336874008,0.05517762899398804,0.087191142141819,45
0.07430829107761383,0.08266414701938629,0.07251504808664322,0.0853438526391983,46
0.04740007594227791,0.08258965611457825,0.0463285893201828,0.07960005104541779,47
0.06189355626702309,0.08022797852754593,0.05741647630929947,0.0793711319565773,48
0.07009509205818176,0.07068507373332977,0.07208874821662903,0.07381980121135712,49
0.055505238473415375,0.07012692838907242,0.0563657209277153,0.066985584795475,50
0.05701114609837532,0.06651095300912857,0.0562320202589035,0.07029734551906586,51
0.041428107768297195,0.0651782751083374,0.040869783610105515,0.060513291507959366,52
0.06510773301124573,0.05690706521272659,0.06676498055458069,0.058951858431100845,53
0.04631093144416809,0.05679146945476532,0.04739813134074211,0.05704893916845322,54
0.04673337563872337,0.05485648661851883,0.046441204845905304,0.05308140814304352,55
0.05601530522108078,0.05095668137073517,0.05822598189115524,0.049866706132888794,56
0.06116391718387604,0.04632062092423439,0.06415495276451111,0.04976366087794304,57
0.05293735861778259,0.04579440504312515,0.0553160160779953,0.045899517834186554,58
0.060476794838905334,0.04628783464431763,0.06347747147083282,0.042807601392269135,59
0.07111769169569016,0.042787373065948486,0.07540450990200043,0.04929494485259056,60
0.06598424911499023,0.04599948599934578,0.06908874213695526,0.0430062972009182,61
0.069118432700634,0.05142899602651596,0.07045680284500122,0.04945892095565796,62
0.07179974764585495,0.0503392219543457,0.07429848611354828,0.056732550263404846,63
0.08094970136880875,0.0538005530834198,0.08174070715904236,0.05326966941356659,64
0.051337022334337234,0.058960288763046265,0.05161627382040024,0.06191209703683853,65
0.04586580768227577,0.06866931170225143,0.04113423824310303,0.0604606568813324,66
0.06964566558599472,0.06523235142230988,0.0678960531949997,0.0702352523803711,67
0.07508115470409393,0.06606528908014297,0.07434820383787155,0.062032558023929596,68
0.08514663577079773,0.06528633087873459,0.08581241220235825,0.06891211122274399,69
0.06470204889774323,0.07152722775936127,0.06261041760444641,0.0714450478553772,70
0.059881504625082016,0.07403643429279327,0.05956266075372696,0.07070018351078033,71
0.06383253633975983,0.07849763333797455,0.05876719206571579,0.07775500416755676,72
