l_vel X,l_vel Y,l_vel Z,t
-0.03364817425608635,-0.011046012863516808,0.034587133675813675,0
0.01248847134411335,-0.00076881586574018,-0.02000075951218605,1
0.0193722452968359,0.0018227893160656095,-0.05456125736236572,2
0.025825655087828636,0.002783433999866247,-0.1199512928724289,3
0.02816033363342285,0.001526314066722989,-0.16940535604953766,4
0.027441849932074547,-0.002392998430877924,-0.2042209655046463,5
0.02374824322760105,-0.007899592630565166,-0.2172587662935257,6
0.01418211404234171,-0.014055013656616211,-0.2144574522972107,7
-0.0026436373591423035,-0.023488961160182953,-0.1882968693971634,8
-0.025146273896098137,-0.036261409521102905,-0.14191289246082306,9
-0.054445601999759674,-0.050876494497060776,-0.0859827846288681,10
-0.09061133861541748,-0.06967747211456299,-0.007374501787126064,11
-0.13146084547042847,-0.0913228988647461,0.08139078319072723,12
-0.1755078285932541,-0.11423719674348831,0.1778278797864914,13
-0.22097642719745636,-0.13810555636882782,0.28005969524383545,14
-0.26893073320388794,-0.1628095507621765,0.39487940073013306,15
-0.3104909360408783,-0.18752363324165344,0.4950578212738037,16
-0.34755679965019226,-0.21063213050365448,0.580560028553009,17
-0.3808702230453491,-0.23555639386177063,0.665686309337616,18
-0.4072043299674988,-0.2608323097229004,0.7393218874931335,19
-0.4244462549686432,-0.28574395179748535,0.7940158843994141,20
-0.4340687394142151,-0.311717689037323,0.8376624584197998,21
-0.43522757291793823,-0.33711108565330505,0.8564662337303162,22
-0.43020057678222656,-0.3606393337249756,0.8474257588386536,23
-0.41969770193099976,-0.3853982388973236,0.8318105340003967,24
-0.40496405959129333,-0.41002508997917175,0.8014003038406372,25
-0.38696619868278503,-0.43187403678894043,0.747175931930542,26
-0.36617395281791687,-0.45470958948135376,0.689105212688446,27
-0.3437468111515045,-0.4752623736858368,0.6185821890830994,28
-0.31966960430145264,-0.49661800265312195,0.5460928678512573,29
-0.29536592960357666,-0.5154361724853516,0.46105825901031494,30
-0.26969581842422485,-0.5353524088859558,0.38141629099845886,31
-0.24563302099704742,-0.552684485912323,0.28798040747642517,32
