a_vel X,a_vel Y,a_vel Z,t
0.013914371840655804,-0.018546212464571,0.41191402077674866,0
-0.476711630821228,-0.9698169231414795,-0.4413057863712311,1
-0.004110687877982855,-0.8120758533477783,-0.7879964113235474,2
0.26340270042419434,-1.2043225765228271,-1.1090604066848755,3
0.7443897724151611,-1.2185146808624268,-1.3253575563430786,4
0.874449610710144,-0.958905816078186,-1.592210292816162,5
0.7428693771362305,-0.8687232732772827,-1.815805435180664,6
0.6228952407836914,-0.9259554743766785,-2.1392173767089844,7
0.7370254993438721,-0.9027031660079956,-2.223794937133789,8
0.7993788719177246,-0.7349281907081604,-2.369507074356079,9
0.8157904148101807,-0.6742268800735474,-2.2740917205810547,10
0.8357369899749756,-0.1625770628452301,-2.109797716140747,11
0.5063520073890686,0.09027046710252762,-1.9490853548049927,12
0.320221871137619,0.4655137360095978,-1.8471564054489136,13
0.25536301732063293,0.6188268065452576,-1.6186000108718872,14
0.29661041498184204,0.7850672602653503,-1.2595839500427246,15
0.26424723863601685,1.2172971963882446,-0.9937500953674316,16
0.24549882113933563,1.2570056915283203,-0.7430499792098999,17
0.3807322382926941,1.242746353149414,-0.5387521386146545,18
0.45194870233535767,1.0916900634765625,-0.22225543856620789,19
0.39542657136917114,1.44778573513031,-0.11385101079940796,20
0.3990817070007324,1.2403347492218018,-0.041488371789455414,21
0.3596170246601105,1.1977516412734985,0.01348991971462965,22
0.3924979269504547,0.9524627923965454,0.038132037967443466,23
0.4336853325366974,0.8489474058151245,0.11940719187259674,24
0.2931371033191681,0.768226146697998,0.0813368409872055,25
0.19044800102710724,0.749049961566925,-0.009910421445965767,26
0.09860767424106598,0.3976730704307556,-0.25455933809280396,27
-0.026287300512194633,0.27052876353263855,-0.3908475935459137,28
-0.11345488578081131,0.16951213777065277,-0.571067214012146,29
-0.14325562119483948,-0.16340258717536926,-0.8111611604690552,30
-0.2040761411190033,-0.40355953574180603,-1.02903413772583,31
-0.19167062640190125,-0.4202527403831482,-1.0757756233215332,32
-0.2752915918827057,-0.39358556270599365,-1.1382911205291748,33
-0.21338419616222382,-0.4837230443954468,-1.2665497064590454,34
-0.31099560856819153,-0.4975970685482025,-1.328418493270874,35
-0.30550655722618103,-0.364208847284317,-1.4304168224334717,36
-0.23743771016597748,-0.42481377720832825,-1.4455900192260742,37
-0.16028258204460144,-0.6214224100112915,-1.5449680089950562,38
-0.22064316272735596,-0.4894901216030121,-1.6652897596359253,39
-0.3159020245075226,-0.48138293623924255,-1.7984044551849365,40
-0.16744880378246307,-0.5529467463493347,-1.811025619506836,41
-0.04831982031464577,-0.4176408052444458,-1.7013155221939087,42
0.037597957998514175,-0.3028384745121002,-1.434369683265686,43
0.08134570717811584,0.11491730064153671,-1.1921223402023315,44
0.30831998586654663,-0.13819703459739685,-1.135310411453247,45
0.297194242477417,0.06877858191728592,-0.8921627998352051,46
0.2606322467327118,0.39124608039855957,-0.6847668886184692,47
0.43130797147750854,0.30729198455810547,-0.5672402381896973,48
0.4004024267196655,0.19206662476062775,-0.5618296265602112,49
0.4317110478878021,0.20146675407886505,-0.37461090087890625,50
