pos X,pos Y,pos Z,t
0.0,0.0,1.0,0
-7.737848500255495e-05,8.876954962033778e-05,0.9996745586395264,1
-0.00032216779072768986,0.00037012711982242763,0.9988805055618286,2
-0.0008071349002420902,0.000839793705381453,0.9970703125,3
-0.0016244997968897223,0.0014141086721792817,0.9944434762001038,4
-0.002877845661714673,0.0020004375837743282,0.9914166331291199,5
-0.004694132599979639,0.002492357511073351,0.9883959293365479,6
-0.007243009749799967,0.00275976094417274,0.9859927892684937,7
-0.010700220242142677,0.0026698459405452013,0.9848659634590149,8
-0.015191270969808102,0.0021570504177361727,0.9852402806282043,9
-0.020851830020546913,0.0011478455271571875,0.9873265027999878,10
-0.02780137024819851,-0.000441782787675038,0.9914264678955078,11
-0.03612581267952919,-0.002669706242159009,0.9978116154670715,12
-0.04581235349178314,-0.005537609104067087,1.0064350366592407,13
-0.05685829371213913,-0.009068998508155346,1.0174455642700195,14
-0.06913290917873383,-0.01323058269917965,1.0305769443511963,15
-0.0824991762638092,-0.017998192459344864,1.0456575155258179,16
-0.09681366384029388,-0.023383865132927895,1.0626710653305054,17
-0.11185121536254883,-0.02933964692056179,1.0810768604278564,18
-0.12741228938102722,-0.0358160026371479,1.1003378629684448,19
-0.14333219826221466,-0.042799629271030426,1.1200494766235352,20
-0.15947233140468597,-0.050283417105674744,1.139886736869812,21
-0.17570753395557404,-0.05824766680598259,1.1595088243484497,22
-0.19192051887512207,-0.06662242114543915,1.1783696413040161,23
-0.2080274075269699,-0.0753699317574501,1.1961241960525513,24
-0.22396770119667053,-0.08442538976669312,1.212339997291565,25
-0.23968228697776794,-0.0937507227063179,1.226764440536499,26
-0.255178838968277,-0.1032416969537735,1.2388803958892822,27
-0.2703819274902344,-0.1129227876663208,1.2487825155258179,28
-0.2852739095687866,-0.12274961173534393,1.2563135623931885,29
-0.29992443323135376,-0.13262847065925598,1.2610505819320679,30
-0.31425073742866516,-0.14260777831077576,1.2632464170455933,31
-0.3282835781574249,-0.15264755487442017,1.2627875804901123,32
-0.3420325517654419,-0.16273388266563416,1.2596503496170044,33
-0.3554348945617676,-0.1729288548231125,1.2541545629501343,34
