T1,T2,T3,T4,t
0.08631885796785355,0.04047586768865585,0.10631777346134186,0.030363989993929863,0
0.08811197429895401,0.02340218424797058,0.08709511160850525,0.04318184405565262,1
0.07277267426252365,0.020249146968126297,0.07154850661754608,0.027747008949518204,2
0.06592879444360733,0.034262556582689285,0.061308130621910095,0.035849276930093765,3
0.07005307823419571,0.043461766093969345,0.06860765814781189,0.04115107282996178,4
0.08731789141893387,0.05113838240504265,0.08669519424438477,0.04561839625239372,5
0.08230888098478317,0.061329346150159836,0.08406645059585571,0.06110033020377159,6
0.10025329887866974,0.06793493032455444,0.09642018377780914,0.067050039768219,7
0.06970325857400894,0.09026594460010529,0.0698373019695282,0.09244154393672943,8
0.09667473286390305,0.09461548924446106,0.08487346768379211,0.09345556795597076,9
0.09026789665222168,0.10571955144405365,0.08959512412548065,0.09998363256454468,10
0.09811025857925415,0.11056139320135117,0.09241160750389099,0.10565570741891861,11
0.09945084154605865,0.11333908140659332,0.09693004935979843,0.10910244286060333,12
0.10418712347745895,0.11414853483438492,0.09959016740322113,0.11060301214456558,13
0.0963946133852005,0.11303266882896423,0.09810858964920044,0.11118988692760468,14
0.09123966097831726,0.1128557026386261,0.08754806965589523,0.11582286655902863,15
0.08838561177253723,0.11196822673082352,0.08612894266843796,0.11032471805810928,16
0.0914866104722023,0.10874926298856735,0.08806177973747253,0.1063409373164177,17
0.07046554982662201,0.10807830840349197,0.06961102783679962,0.10813962668180466,18
0.06926895678043365,0.10453977435827255,0.06427858769893646,0.10302583128213882,19
0.08411899209022522,0.09317941218614578,0.08144679665565491,0.09055551141500473,20
0.07963141798973083,0.08704008162021637,0.07935177534818649,0.08372537791728973,21
0.05518985167145729,0.08708646893501282,0.05525151640176773,0.0898674875497818,22
0.06887595355510712,0.07332233339548111,0.06978221237659454,0.07217612117528915,23
0.04997507855296135,0.0732150673866272,0.051416147500276566,0.07245945930480957,24
0.047800462692976,0.06735378503799438,0.04561658576130867,0.06765610724687576,25
0.04649364948272705,0.05719214677810669,0.05003148689866066,0.056105658411979675,26
0.03813556209206581,0.05958903580904007,0.035340566188097,0.0540582537651062,27
0.035277582705020905,0.052805569022893906,0.033655017614364624,0.051239293068647385,28
0.02683042362332344,0.0455133281648159,0.027596060186624527,0.04350922629237175,29
0.05064499378204346,0.03439582139253616,0.05187229812145233,0.031665198504924774,30
0.04848944768309593,0.028733115643262863,0.05397890508174896,0.029542680829763412,31
0.04400528222322464,0.021770518273115158,0.051819272339344025,0.026008833199739456,32
0.05308288708329201,0.021232495084404945,0.06131555140018463,0.019709976390004158,33
0.06304191052913666,0.021503327414393425,0.06891605257987976,0.026530412957072258,34
0.058391086757183075,0.02462638169527054,0.06726033240556717,0.024734102189540863,35
0.06716446578502655,0.03189955651760101,0.06990741938352585,0.03390614688396454,36
0.08504939824342728,0.03823474794626236,0.09312399476766586,0.039253465831279755,37
0.08923109620809555,0.044914912432432175,0.09083187580108643,0.049482639878988266,38
0.0916842371225357,0.058754149824380875,0.09485001116991043,0.05929005518555641,39
0.08768322318792343,0.0685882419347763,0.08396193385124207,0.06793540716171265,40
0.0918779969215393,0.07683046162128448,0.0893009677529335,0.07677541673183441,41
0.09532719850540161,0.08319351077079773,0.09368802607059479,0.08319027721881866,42
0.09679362177848816,0.09531043469905853,0.09112171083688736,0.0913470983505249,43
0.10172024369239807,0.1000056192278862,0.09925593435764313,0.09896086901426315,44
0.09701240807771683,0.10696271061897278,0.09164196252822876,0.10489314794540405,45
0.07862677425146103,0.10656391829252243,0.07440391927957535,0.10774213820695877,46
0.0903296247124672,0.11174508184194565,0.08605712652206421,0.10755995661020279,47
0.10047975182533264,0.11232522875070572,0.09717962145805359,0.1091512069106102,48
0.07566402107477188,0.1125449687242508,0.07198629528284073,0.11036279797554016,49
0.07234147191047668,0.1091846376657486,0.06873667240142822,0.10737158358097076,50
0.07819515466690063,0.10980584472417831,0.07380332052707672,0.10523071140050888,51
0.07460924983024597,0.10578853636980057,0.07173240929841995,0.10348188132047653,52
0.0758916586637497,0.09999921172857285,0.0729733407497406,0.10005592554807663,53
0.0650658831000328,0.09217789769172668,0.06496070325374603,0.09341280162334442,54
0.05874905735254288,0.0840538740158081,0.05930992588400841,0.08428430557250977,55
0.04653417319059372,0.07796964049339294,0.046478018164634705,0.0758795440196991,56
0.025239096954464912,0.07228268682956696,0.02498864382505417,0.06719373911619186,57
0.04400051757693291,0.07087237387895584,0.039079129695892334,0.06451518088579178,58
0.06469941884279251,0.06460995227098465,0.06330738961696625,0.06657668203115463,59
0.03497549518942833,0.05128931254148483,0.04044320806860924,0.055220335721969604,60
0.04065951332449913,0.04389870539307594,0.04459608346223831,0.04161457344889641,61
0.04099038615822792,0.03982057422399521,0.04539138823747635,0.03780585527420044,62
0.04081172123551369,0.0363025888800621,0.04453180730342865,0.03646642714738846,63
0.0372137725353241,0.031005632132291794,0.04199066758155823,0.03170308843255043,64
0.03326091542840004,0.02760530263185501,0.03805385157465935,0.027006780728697777,65
0.02510868012905121,0.027852844446897507,0.028401246294379234,0.02567654475569725,66
0.05246680974960327,0.034229155629873276,0.053764648735523224,0.02803638204932213,67
0.05691513419151306,0.03531923517584801,0.058757100254297256,0.03805702552199364,68
0.0461522713303566,0.030992630869150162,0.05196147784590721,0.03354516997933388,69
0.05906051769852638,0.03208894282579422,0.0646887719631195,0.03074580617249012,70
0.04888922721147537,0.03919210284948349,0.05005466565489769,0.03623703122138977,71
0.07253198325634003,0.03911694139242172,0.07559946179389954,0.04602634906768799,72
