pos X,pos Y,pos Z,t
0.0,0.0,1.0,0
2.9973019991302863e-05,0.00014733988791704178,0.9994794130325317,1
2.190781924582552e-05,0.0005517571698874235,0.9984618425369263,2
-7.622625707881525e-05,0.0011944392463192344,0.996467649936676,3
-0.00033891855855472386,0.001999219413846731,0.9937170147895813,4
-0.0008524549193680286,0.0028968092519789934,0.9905800223350525,5
-0.0017195139080286026,0.0038184942677617073,0.9873085021972656,6
-0.0030781736131757498,0.004659923259168863,0.9843515157699585,7
-0.005071718245744705,0.005300800781697035,0.9821627140045166,8
-0.007854482159018517,0.005606707651168108,0.9813051819801331,9
-0.011559713631868362,0.005489346105605364,0.9822161793708801,10
-0.01624547690153122,0.004910571966320276,0.985013484954834,11
-0.02202112041413784,0.0038151745684444904,0.9900327324867249,12
-0.028889590874314308,0.002186655532568693,0.9972866177558899,13
-0.03688576817512512,7.523134627263062e-06,1.0068846940994263,14
-0.045986250042915344,-0.0027384303975850344,1.0188099145889282,15
-0.056120868772268295,-0.006050515919923782,1.0329442024230957,16
-0.06719579547643661,-0.00991122517734766,1.0490847826004028,17
-0.07908008992671967,-0.014298094436526299,1.0669296979904175,18
-0.09166856110095978,-0.019235342741012573,1.0864267349243164,19
-0.10478996485471725,-0.024700606241822243,1.1071362495422363,20
-0.11825702339410782,-0.030624885112047195,1.1283162832260132,21
-0.13193756341934204,-0.0369778648018837,1.1494507789611816,22
-0.14572273194789886,-0.043803758919239044,1.1705244779586792,23
-0.15947356820106506,-0.051095057278871536,1.1912578344345093,24
-0.17307527363300323,-0.05879785120487213,1.2111737728118896,25
-0.1864399015903473,-0.06687377393245697,1.2299448251724243,26
-0.1995094120502472,-0.07525787502527237,1.2471777200698853,27
-0.21223069727420807,-0.08388262242078781,1.2625539302825928,28
-0.22457031905651093,-0.0927116796374321,1.2758724689483643,29
-0.23653167486190796,-0.10166937857866287,1.2868218421936035,30
-0.2481151819229126,-0.11070912331342697,1.2952135801315308,31
-0.25933459401130676,-0.11978991329669952,1.300897479057312,32
-0.27015310525894165,-0.1289340704679489,1.3039991855621338,33
-0.28055712580680847,-0.13815870881080627,1.304610013961792,34
-0.29044029116630554,-0.14756765961647034,1.3032604455947876,35
-0.29983559250831604,-0.15712909400463104,1.2999107837677002,36
-0.30876240134239197,-0.16685020923614502,1.2946627140045166,37
-0.31725144386291504,-0.17674191296100616,1.2876670360565186,38
-0.32530006766319275,-0.1868811845779419,1.2793859243392944,39
-0.3329050540924072,-0.19736628234386444,1.2704877853393555,40
-0.3401174545288086,-0.20827621221542358,1.2615724802017212,41
-0.3470172882080078,-0.21966350078582764,1.2532672882080078,42
-0.35373297333717346,-0.23153246939182281,1.2460047006607056,43
-0.3604487180709839,-0.2438434213399887,1.2399389743804932,44
-0.3673399090766907,-0.2565615773200989,1.235384225845337,45
-0.37457191944122314,-0.26961082220077515,1.2323514223098755,46
-0.3823276460170746,-0.2829549014568329,1.2309658527374268,47
-0.39071595668792725,-0.29651615023612976,1.231073260307312,48
-0.3998764753341675,-0.3102760910987854,1.2330148220062256,49
-0.4099421203136444,-0.3242367208003998,1.23732590675354,50
-0.42090967297554016,-0.3383316099643707,1.2436692714691162,51
-0.4327167570590973,-0.3524974286556244,1.25152587890625,52
-0.4453299343585968,-0.36671218276023865,1.2606784105300903,53
-0.45878633856773376,-0.38100963830947876,1.2715415954589844,54
-0.47298991680145264,-0.3953944444656372,1.2839030027389526,55
-0.48783814907073975,-0.40988823771476746,1.2974975109100342,56
-0.5032016634941101,-0.42450690269470215,1.3119455575942993,57
-0.5189706087112427,-0.43928247690200806,1.3268901109695435,58
-0.5350800156593323,-0.45428887009620667,1.3423068523406982,59
-0.5513782501220703,-0.46945005655288696,1.3571202754974365,60
-0.5678222179412842,-0.48480889201164246,1.3711758852005005,61
-0.5843895077705383,-0.500500500202179,1.3849704265594482,62
-0.6009706258773804,-0.5164781808853149,1.3979449272155762,63
-0.6174843311309814,-0.5327014327049255,1.409619927406311,64
-0.6338793635368347,-0.5491980314254761,1.4198906421661377,65
-0.6501197814941406,-0.5658826231956482,1.4282654523849487,66
-0.6661862134933472,-0.5827037692070007,1.4344415664672852,67
-0.6820423007011414,-0.5996990203857422,1.4385044574737549,68
-0.6976820826530457,-0.6167806386947632,1.4401050806045532,69
-0.7130734920501709,-0.6340135335922241,1.4394264221191406,70
-0.7282090187072754,-0.6513773202896118,1.4364044666290283,71
-0.7430890798568726,-0.6688528060913086,1.4309965372085571,72
-0.7576863765716553,-0.686487078666687,1.4234250783920288,73
-0.7719441652297974,-0.7043996453285217,1.4141631126403809,74
-0.7858269810676575,-0.7226594090461731,1.4035639762878418,75
-0.7993191480636597,-0.7412852644920349,1.3918604850769043,76
-0.8124281764030457,-0.7602195739746094,1.37900972366333,77
-0.8251376152038574,-0.7794946432113647,1.3653064966201782,78
-0.8374623656272888,-0.7991102337837219,1.351002812385559,79
-0.8494324088096619,-0.8190672397613525,1.336410403251648,80
-0.8611317276954651,-0.8392950892448425,1.3215053081512451,81
-0.8726131319999695,-0.8597989678382874,1.3068541288375854,82
-0.8839467763900757,-0.8805426955223083,1.292936086654663,83
-0.8952486515045166,-0.9014261960983276,1.2796424627304077,84
-0.9066622257232666,-0.9224129319190979,1.2678788900375366,85
-0.9183272123336792,-0.9433816075325012,1.2578225135803223,86
-0.9303474426269531,-0.9641781449317932,1.2491103410720825,87
-0.9428462982177734,-0.9846951365470886,1.2417457103729248,88
-0.9559303522109985,-1.0048243999481201,1.2359579801559448,89
