a_vel X,a_vel Y,a_vel Z,t
0.11758557707071304,0.21677817404270172,0.47977858781814575,0
-0.462980180978775,-0.9474979639053345,-0.42325475811958313,1
0.5109369158744812,-0.9128661751747131,-0.7463212609291077,2
0.9394361972808838,-0.8762162923812866,-1.0466856956481934,3
1.0336670875549316,-0.9552357196807861,-1.376562237739563,4
1.0371214151382446,-0.8155261278152466,-1.618423342704773,5
0.9632875323295593,-0.8999952673912048,-1.8182902336120605,6
1.023953914642334,-0.6931136250495911,-1.8472411632537842,7
0.830220103263855,-0.4489930272102356,-2.001237154006958,8
0.5862380862236023,-0.5335113406181335,-2.1383423805236816,9
0.6950491666793823,-0.445966899394989,-2.1827168464660645,10
0.673897922039032,-0.2088683396577835,-2.0889484882354736,11
0.6063861846923828,0.033054400235414505,-1.9552665948867798,12
0.4984935224056244,0.21496178209781647,-1.8395973443984985,13
0.31854483485221863,0.379354327917099,-1.6521599292755127,14
0.4133860468864441,0.5454119443893433,-1.358625888824463,15
0.4133692681789398,0.7322766780853271,-1.1481356620788574,16
0.3661981225013733,0.9213680028915405,-0.8622332811355591,17
0.4117257297039032,1.05024254322052,-0.6109657883644104,18
0.3855338990688324,1.285435676574707,-0.38728636503219604,19
0.3919404149055481,1.4199589490890503,-0.18460601568222046,20
0.5365525484085083,1.2690054178237915,0.08421184122562408,21
0.5312018394470215,1.2225812673568726,0.36872342228889465,22
0.5323302745819092,1.3390400409698486,0.5717595219612122,23
0.4540485441684723,1.3679752349853516,0.6693447232246399,24
0.4477430284023285,1.3052124977111816,0.7837538719177246,25
0.46224507689476013,1.1850446462631226,0.9368788003921509,26
0.3328937590122223,1.0492587089538574,0.8380759358406067,27
0.1275825798511505,1.0326297283172607,0.7087586522102356,28
0.15852965414524078,0.7319575548171997,0.5547530055046082,29
0.08241310715675354,0.48296329379081726,0.4741138815879822,30
-0.03477582335472107,0.24733301997184753,0.28667473793029785,31
0.027635594829916954,-0.023349307477474213,0.14502906799316406,32
-0.2442178875207901,-0.28091856837272644,-0.0810791626572609,33
-0.10386668890714645,-0.39141765236854553,-0.27881208062171936,34
-0.4804317057132721,-0.5421876907348633,-0.4236113429069519,35
-0.40354424715042114,-0.5013911128044128,-0.6640451550483704,36
-0.33525773882865906,-0.7364915013313293,-0.8254206776618958,37
-0.5976267457008362,-0.9399903416633606,-1.1105570793151855,38
-0.5489120483398438,-1.0690033435821533,-1.4736157655715942,39
-0.6774330139160156,-1.130965232849121,-1.7465028762817383,40
-0.49436426162719727,-1.1600369215011597,-1.9527848958969116,41
-0.47726699709892273,-1.2554346323013306,-2.149869203567505,42
-0.2883997857570648,-1.3216586112976074,-2.293572425842285,43
-0.35474613308906555,-1.0482434034347534,-2.283453941345215,44
-0.29985496401786804,-0.7207772731781006,-2.1433212757110596,45
-0.2289135903120041,-0.48001500964164734,-2.0650904178619385,46
-0.03560877591371536,-0.3822008967399597,-1.9103963375091553,47
-0.038242727518081665,-0.1890946328639984,-1.776597261428833,48
0.14973610639572144,-0.038986075669527054,-1.545347809791565,49
0.25749319791793823,0.07035066187381744,-1.2768892049789429,50
0.2280430942773819,0.2999034523963928,-1.0984792709350586,51
0.34449973702430725,0.48788103461265564,-0.84457927942276,52
0.3998637795448303,0.6316737532615662,-0.5989801287651062,53
0.5816792249679565,0.5965926647186279,-0.4743225574493408,54
0.5757758021354675,0.4750475287437439,-0.3332873284816742,55
0.5725428462028503,0.4862021505832672,-0.16797122359275818,56
0.5984256863594055,0.5448422431945801,0.12244049459695816,57
0.6686170101165771,0.6049453020095825,0.3005526065826416,58
0.6531950831413269,0.5864652991294861,0.5027557611465454,59
0.6362742781639099,0.7676093578338623,0.6189216375350952,60
0.6581080555915833,0.6055133938789368,0.8140474557876587,61
0.6828814744949341,0.536893904209137,0.9052919149398804,62
0.544259250164032,0.4926481544971466,1.0141966342926025,63
0.4698981046676636,0.5551251769065857,1.1243419647216797,64
0.47459450364112854,0.47805896401405334,1.1629871129989624,65
0.33274412155151367,0.3695301413536072,1.1084601879119873,66
0.1806163638830185,0.26225292682647705,0.9828362464904785,67
0.017686309292912483,0.16961634159088135,0.8728951811790466,68
-0.1843416690826416,0.11396532505750656,0.7222591042518616,69
-0.28466033935546875,-0.002077231416478753,0.5250789523124695,70
-0.39498740434646606,-0.19501855969429016,0.29140645265579224,71
-0.5697977542877197,-0.24892540276050568,0.16553080081939697,72
-0.6223723888397217,-0.42982783913612366,-0.10094593465328217,73
-0.7529770135879517,-0.5737740397453308,-0.3076087534427643,74
-0.9787696599960327,-0.5370585918426514,-0.5001030564308167,75
-0.9754465818405151,-0.6802634000778198,-0.8127973079681396,76
-1.1182388067245483,-0.8967534899711609,-1.1329190731048584,77
-1.267727255821228,-0.7555606961250305,-1.361437439918518,78
-1.0227662324905396,-1.0316575765609741,-1.621345043182373,79
-0.9859502911567688,-1.1138544082641602,-1.7559285163879395,80
-0.9247110486030579,-0.8567403554916382,-1.8076145648956299,81
-0.8284304738044739,-0.8459718823432922,-1.8766422271728516,82
-0.7040298581123352,-0.6590512990951538,-1.9454771280288696,83
-0.6089868545532227,-0.7844974994659424,-2.0887293815612793,84
-0.5270082950592041,-0.3984367847442627,-2.0160202980041504,85
-0.4870181679725647,-0.1908658742904663,-1.8670271635055542,86
-0.27613964676856995,-0.21298140287399292,-1.714111328125,87
-0.18031740188598633,0.03719187527894974,-1.5720608234405518,88
-0.010170549154281616,-0.01249699480831623,-1.3161650896072388,89
0.1473986953496933,0.1379910111427307,-1.1324334144592285,90
0.2249426394701004,0.19788384437561035,-0.9184662699699402,91
0.30396372079849243,0.262101411819458,-0.7893185019493103,92
0.3740745484828949,0.28448915481567383,-0.551403820514679,93
0.48833149671554565,0.3067798316478729,-0.3516763746738434,94
0.4961782395839691,0.5092397928237915,-0.08137790113687515,95
0.6629128456115723,0.44975346326828003,0.1347031593322754,96
0.7121396064758301,0.25030040740966797,0.21487519145011902,97
0.7655348181724548,0.16190221905708313,0.4531922936439514,98
0.6813963055610657,0.41139155626296997,0.6522036194801331,99
0.6954331398010254,0.500208854675293,0.8347083926200867,100
