l_vel X,l_vel Y,l_vel Z,t
0.01815773732960224,-0.8586819171905518,0.1511366218328476,0
-0.005131260957568884,-0.0050226179882884026,0.08362964540719986,1
-0.015517267398536205,-0.017077257856726646,0.147807776927948,2
-0.03699248656630516,-0.03979139402508736,0.20138037204742432,3
-0.08614180237054825,-0.07342948019504547,0.2536177337169647,4
-0.16612735390663147,-0.11266414821147919,0.30813342332839966,5
-0.2683604657649994,-0.15190254151821136,0.356681764125824,6
-0.3890133202075958,-0.18829448521137238,0.400181382894516,7
-0.5220706462860107,-0.21991229057312012,0.4384075701236725,8
-0.6627772450447083,-0.2468397319316864,0.4716005027294159,9
-0.8094381093978882,-0.2707432210445404,0.5006808042526245,10
-0.9563792943954468,-0.2929539084434509,0.5221133828163147,11
-1.1038687229156494,-0.3150344491004944,0.538057804107666,12
-1.251613974571228,-0.3395601212978363,0.5478624701499939,13
-1.3980132341384888,-0.36794915795326233,0.5504644513130188,14
-1.5452858209609985,-0.40005606412887573,0.5476842522621155,15
-1.6946104764938354,-0.4368833005428314,0.5416566133499146,16
-1.8478236198425293,-0.479155570268631,0.5354801416397095,17
-2.000448703765869,-0.5276859998703003,0.5237091183662415,18
-2.152846336364746,-0.5844090580940247,0.5082077980041504,19
-2.3092410564422607,-0.6532945036888123,0.49437713623046875,20
-2.465826988220215,-0.73401939868927,0.4827564060688019,21
-2.621434211730957,-0.831450879573822,0.4758237600326538,22
-2.7735729217529297,-0.9442026019096375,0.479938268661499,23
-2.911797046661377,-1.0717651844024658,0.49012914299964905,24
-3.0390195846557617,-1.2249691486358643,0.5194823741912842,25
-3.1369199752807617,-1.38422691822052,0.5553187727928162,26
-3.207728147506714,-1.5526598691940308,0.6071182489395142,27
-3.2415530681610107,-1.7167129516601562,0.6601879000663757,28
-3.240903377532959,-1.876362681388855,0.7258784174919128,29
-3.205413341522217,-2.024557590484619,0.7957361340522766,30
-3.1386616230010986,-2.1483633518218994,0.8531550168991089,31
-3.0418100357055664,-2.255613327026367,0.9080896377563477,32
-2.913470983505249,-2.353984832763672,0.965808093547821,33
-2.75359845161438,-2.4418694972991943,1.0180808305740356,34
-2.5699801445007324,-2.5169894695281982,1.0580402612686157,35
-2.3528120517730713,-2.5847673416137695,1.0941288471221924,36
-2.1151013374328613,-2.6385788917541504,1.1185163259506226,37
-1.8706907033920288,-2.676137924194336,1.1278753280639648,38
-1.6205956935882568,-2.6949045658111572,1.1250015497207642,39
-1.3753093481063843,-2.6940672397613525,1.1128841638565063,40
-1.1540935039520264,-2.6741220951080322,1.0887664556503296,41
-0.9556944370269775,-2.6381852626800537,1.058780550956726,42
-0.7792684435844421,-2.5850868225097656,1.0266956090927124,43
-0.6352176070213318,-2.5227978229522705,0.9844598770141602,44
-0.5134745240211487,-2.4474384784698486,0.9398086667060852,45
-0.424437016248703,-2.370582103729248,0.8811075687408447,46
-0.3490627408027649,-2.2835633754730225,0.8270578980445862,47
-0.289394348859787,-2.1849305629730225,0.7786245942115784,48
-0.25525787472724915,-2.096827983856201,0.712404727935791,49
-0.22806432843208313,-1.9929672479629517,0.6679905652999878,50
-0.21966660022735596,-1.8914904594421387,0.6163187026977539,51
-0.22190320491790771,-1.7947348356246948,0.562204897403717,52
-0.2377694994211197,-1.687264323234558,0.5173797607421875,53
-0.2624346613883972,-1.576280951499939,0.47547146677970886,54
-0.30323559045791626,-1.4682154655456543,0.4307054579257965,55
-0.35326656699180603,-1.3580875396728516,0.390844464302063,56
-0.4113616347312927,-1.2531421184539795,0.35121187567710876,57
-0.47882235050201416,-1.148574709892273,0.3145334720611572,58
-0.559064507484436,-1.0463664531707764,0.28267142176628113,59
-0.6497907042503357,-0.9470425248146057,0.25803878903388977,60
-0.7488773465156555,-0.8540253639221191,0.23875123262405396,61
-0.8559524416923523,-0.7739207148551941,0.22219637036323547,62
-0.9770709872245789,-0.7015670537948608,0.22031769156455994,63
-1.1068536043167114,-0.6425058245658875,0.23299455642700195,64
-1.236344337463379,-0.6051135063171387,0.24861331284046173,65
-1.362557291984558,-0.5872741937637329,0.27439025044441223,66
-1.4760098457336426,-0.5955216288566589,0.29036039113998413,67
-1.582060694694519,-0.6187452673912048,0.32280299067497253,68
