drag X,drag Y,drag Z,X_n,Y_n,Z_n,t
-0.010026630945503712,-0.009867408312857151,-0.0,0.0012550244573503733,-0.00048162383609451354,0.0015849473420530558,0
-0.010009994730353355,-0.009952749125659466,-0.0005646656500175595,-0.010522644966840744,-0.006226092576980591,0.0004673093790188432,1
-0.010030137374997139,-0.00997694581747055,-0.0004018186009489,-0.010729937814176083,-0.011349894106388092,0.00242920545861125,2
-0.00978490523993969,-0.009512134827673435,5.501016858033836e-05,-0.00783466175198555,-0.013538400642573833,-0.002911434741690755,3
-0.009810798801481724,-0.008956377394497395,0.0005568820051848888,-0.0087936632335186,-0.013006064109504223,0.001090539270080626,4
-0.00951857678592205,-0.00849506538361311,0.0007478451589122415,-0.007867319509387016,-0.014733664691448212,0.004898643586784601,5
-0.009123684838414192,-0.007719840854406357,0.0005894538480788469,-0.010931788943707943,-0.00267160777002573,0.002634254051372409,6
-0.00857735238969326,-0.007230635266751051,3.791749259107746e-05,-0.01140295248478651,-0.005160137079656124,-0.003669080091640353,7
-0.007978095673024654,-0.006774944718927145,-0.00064039824064821,-0.00639158533886075,-0.010058763436973095,0.0018366973381489515,8
-0.007277499884366989,-0.006143959239125252,-0.001452985918149352,-0.011988513171672821,-0.008440699428319931,-0.0021871791686862707,9
-0.006682532839477062,-0.005896555259823799,-0.0023176807444542646,-0.00661310413852334,-0.004156806506216526,0.0009161753114312887,10
-0.0060433922335505486,-0.005562378093600273,-0.003209901275113225,-0.007568311411887407,-0.001241086982190609,0.0008004810661077499,11
-0.005145479924976826,-0.005353344138711691,-0.004269873257726431,-0.008347835391759872,-0.005829860921949148,-0.005837239325046539,12
-0.004415230825543404,-0.005413115490227938,-0.005152376834303141,-0.004993303678929806,-0.006388215348124504,-0.004734670277684927,13
-0.0038921318482607603,-0.005523657891899347,-0.005884966813027859,-0.0048784660175442696,-0.001969168661162257,-0.0016383961774408817,14
-0.0033361094538122416,-0.005709284916520119,-0.006706394255161285,-0.008741958998143673,-0.008023003116250038,-0.006043878383934498,15
-0.0029122924897819757,-0.006013849750161171,-0.007401215378195047,-0.005183079279959202,-0.00840015895664692,-0.008086256682872772,16
-0.002465130528435111,-0.006348914932459593,-0.008161008358001709,-0.007275580428540707,-0.0016447841189801693,-0.003670579520985484,17
-0.002204684540629387,-0.007060641888529062,-0.009063497185707092,-0.004049584735184908,-0.0019154855981469154,-0.002391898538917303,18
-0.00213802931830287,-0.007639487739652395,-0.009782334789633751,-0.0027921085711568594,-0.004027004353702068,-0.015375284478068352,19
-0.0018767737783491611,-0.008242522366344929,-0.010656196624040604,-0.001732786651700735,-0.006777849979698658,-0.015877338126301765,20
-0.0021356360521167517,-0.009580490179359913,-0.011621301993727684,-0.0002879552775993943,0.0009693568572402,-0.008654776029288769,21
-0.0025054882280528545,-0.010765627026557922,-0.012528272345662117,0.002594321733340621,-0.008862159214913845,-0.013242130167782307,22
