drag X,drag Y,drag Z,X_n,Y_n,Z_n,t
-0.010006618686020374,0.00993452686816454,-0.0,0.0008201244636438787,-0.0031004969496279955,-0.004363994114100933,0
-0.010096465237438679,0.00987355224788189,-0.0008495798683725297,-0.008787049911916256,0.010299856774508953,-0.006993500515818596,1
-0.009878374636173248,0.00986399408429861,-0.001350602600723505,-0.013121051713824272,0.01296042650938034,-0.002684715436771512,2
-0.010057526640594006,0.009871144779026508,-0.0013589077861979604,-0.008196201175451279,0.010845499113202095,-0.0024475296959280968,3
-0.009518095292150974,0.01031150110065937,-0.0011834934120997787,-0.011040271259844303,0.007940956391394138,-0.00020520470570772886,4
-0.008518107235431671,0.010659949854016304,-0.0011746749514713883,-0.0071395086124539375,0.01333153061568737,0.002105419524013996,5
-0.007660315837711096,0.011045204475522041,-0.0013068828266113997,-0.006982129067182541,0.011998938396573067,-0.0003935687127523124,6
-0.006270669400691986,0.01131801214069128,-0.0018859824631363153,-0.011642095632851124,0.008564893156290054,-0.0006080631865188479,7
-0.004708343185484409,0.0116196870803833,-0.0027754371985793114,-0.006754599511623383,0.014427381567656994,0.003055562963709235,8
-0.00313324062153697,0.011711303144693375,-0.0038516216445714235,-0.004505477380007505,0.009641643613576889,0.0009276971686631441,9
-0.0012777706142514944,0.011758334003388882,-0.005088599864393473,-0.0026776271406561136,0.006212193053215742,-0.0009570636320859194,10
0.0004843571805395186,0.011323468759655952,-0.006246763281524181,-0.003305191872641444,0.014845354482531548,-0.009296583943068981,11
0.0024271856527775526,0.010926389135420322,-0.007683270610868931,-0.0033018188551068306,0.01896585337817669,-0.006447924301028252,12
0.003984484355896711,0.010417327284812927,-0.008931047283113003,0.002123338170349598,0.013090716674923897,-0.009522353298962116,13
0.005480533931404352,0.009445037692785263,-0.01010747067630291,0.0018200473859906197,0.009674431756138802,-0.01056333351880312,14
0.0070016589015722275,0.008647100068628788,-0.011271793395280838,-0.00034696003422141075,0.00587870180606842,-0.011485893279314041,15
0.008376935496926308,0.007440576329827309,-0.012450171634554863,0.004738437477499247,0.0071698823012411594,-0.010732156224548817,16
0.009713277220726013,0.00599195109680295,-0.013778862543404102,0.01161976344883442,0.010655129328370094,-0.018057584762573242,17
0.011013215407729149,0.0042686606757342815,-0.015309112146496773,0.008520664647221565,0.00805643666535616,-0.011628419160842896,18
0.011813538148999214,0.00220589991658926,-0.016670413315296173,0.008315932005643845,0.0018402396235615015,-0.01725960709154606,19
0.012421250343322754,-0.0003711771860253066,-0.01818210259079933,0.0157780759036541,-0.0012882871087640524,-0.019514277577400208,20
0.012714385986328125,-0.003152389544993639,-0.019629504531621933,0.01030940655618906,-0.0035936646163463593,-0.020187748596072197,21
0.012697502970695496,-0.005985400639474392,-0.02092454396188259,0.014102361164987087,-0.005899317562580109,-0.02129419334232807,22
0.011961936950683594,-0.009679123759269714,-0.02226323075592518,0.015149121172726154,-0.006527887191623449,-0.020983781665563583,23
0.010699857026338577,-0.013478395529091358,-0.023317448794841766,0.012905236333608627,-0.005431527271866798,-0.023813093081116676,24
0.008483019657433033,-0.017324252054095268,-0.023766739293932915,0.008465004153549671,-0.015071543864905834,-0.02265162020921707,25
0.005600956734269857,-0.02103859931230545,-0.023770097643136978,0.0057344622910022736,-0.016587890684604645,-0.018350210040807724,26
0.002238987712189555,-0.02448171004652977,-0.023280015215277672,0.0023398948833346367,-0.01907137595117092,-0.022611547261476517,27
-0.0016882908530533314,-0.02734665758907795,-0.022137455642223358,0.004434720613062382,-0.02589699998497963,-0.020934581756591797,28
-0.005890397820621729,-0.029244476929306984,-0.02052939124405384,0.0018971913959831,-0.025345811620354652,-0.02450324036180973,29
-0.010336386039853096,-0.03061993047595024,-0.018847061321139336,-0.010054844431579113,-0.03491874411702156,-0.018432503566145897,30
-0.01486209686845541,-0.03047674335539341,-0.01678474433720112,-0.011084108613431454,-0.03302758187055588,-0.019899150356650352,31
-0.01907867193222046,-0.029570335522294044,-0.014924679882824421,-0.014568866230547428,-0.025930436328053474,-0.014214452356100082,32
-0.0232761949300766,-0.028135031461715698,-0.013051765039563179,-0.02052030898630619,-0.029404880478978157,-0.01696830429136753,33
-0.02689369209110737,-0.025758597999811172,-0.011233670637011528,-0.022324977442622185,-0.029790617525577545,-0.014893220737576485,34
-0.030147461220622063,-0.02304314635694027,-0.00947477761656046,-0.02910703606903553,-0.033352483063936234,-0.011355329304933548,35
-0.03230275958776474,-0.01992250606417656,-0.008182242512702942,-0.02785332314670086,-0.024047523736953735,-0.010739739052951336,36
-0.03429880365729332,-0.01687421277165413,-0.007011303678154945,-0.03097475878894329,-0.022268082946538925,-0.00975933950394392,37
-0.03546016663312912,-0.01391828153282404,-0.0062742517329752445,-0.032213203608989716,-0.015860501676797867,0.00044150371104478836,38
-0.03599419817328453,-0.011129358783364296,-0.005800565239042044,-0.037533849477767944,-0.01576509140431881,-0.011454932391643524,39
-0.0366416797041893,-0.008813638240098953,-0.005106838885694742,-0.0366702526807785,-0.009823333472013474,-0.012072065845131874,40
-0.036619871854782104,-0.0069594550877809525,-0.004700982477515936,-0.03881217911839485,-0.008663306012749672,-0.003450708230957389,41
-0.03651772812008858,-0.005498327314853668,-0.004155040718615055,-0.039697226136922836,-0.008791735395789146,-0.0016267918981611729,42
-0.03618808463215828,-0.0038308692164719105,-0.0031248300801962614,-0.0394156239926815,-0.006120139732956886,0.0004103337414562702,43
-0.03579886630177498,-0.0020611798390746117,-0.0017237609717994928,-0.033821575343608856,-0.0028008173685520887,-0.003713988233357668,44
-0.03542615473270416,-0.00027497290284372866,-0.00015287622227333486,-0.036797039210796356,-0.003336200723424554,-0.004190635867416859,45
-0.034521427005529404,0.0017964154249057174,0.0012449107598513365,-0.03773200884461403,-0.0005458591040223837,0.0011655277339741588,46
-0.03377533704042435,0.0038946163840591908,0.0025534729938954115,-0.03617990389466286,-0.00075985596049577,0.001900251256301999,47
-0.03242666274309158,0.0063428450375795364,0.003792657284066081,-0.03588833659887314,0.0035345135256648064,-0.0002878692466765642,48
-0.03099316917359829,0.008425107225775719,0.00476508354768157,-0.03330812230706215,0.007824704051017761,0.003634101478382945,49
-0.029445385560393333,0.010461961850523949,0.005446924362331629,-0.02703983150422573,0.0044728959910571575,0.004450574517250061,50
-0.02771788462996483,0.01245509460568428,0.006178251467645168,-0.0299817007035017,0.013479785062372684,0.006164179649204016,51
-0.02564130164682865,0.014268219470977783,0.006339414976537228,-0.028267575427889824,0.016141723841428757,0.007134552113711834,52
-0.023699406534433365,0.015917565673589706,0.006369452457875013,-0.029855530709028244,0.01269777212291956,0.0006414656527340412,53
-0.02164292335510254,0.01704615168273449,0.006537177599966526,-0.02224031277000904,0.015652090311050415,0.0031670797616243362,54
-0.01958325505256653,0.018035512417554855,0.006715834140777588,-0.024400785565376282,0.011075847782194614,0.0028292739298194647,55
-0.01743096113204956,0.01911078579723835,0.00694236857816577,-0.015290353447198868,0.018354859203100204,0.008574250154197216,56
-0.015526840463280678,0.019455548375844955,0.006860863883048296,-0.015750017017126083,0.015227237716317177,0.0065926495008170605,57
-0.013344865292310715,0.0197526253759861,0.0067335208877921104,-0.024046694859862328,0.016064247116446495,0.0011035045608878136,58
-0.01134572084993124,0.020034175366163254,0.006746344268321991,-0.011581884697079659,0.01994757167994976,0.007678214926272631,59
-0.00938547495752573,0.020156344398856163,0.006715130526572466,-0.009486323222517967,0.020171480253338814,0.011538373306393623,60
-0.007467117626219988,0.02021702006459236,0.006466601975262165,-0.015472861006855965,0.020661257207393646,0.007215708959847689,61
-0.005688057281076908,0.01968395709991455,0.006041225045919418,-0.012180129997432232,0.01995416358113289,0.008498880080878735,62
-0.003991594072431326,0.019164180383086205,0.005660597700625658,-0.009503060951828957,0.019268423318862915,0.0029231696389615536,63
-0.002146249869838357,0.01874758116900921,0.005441142246127129,-0.0005237560253590345,0.01999904401600361,0.011256782338023186,64
-0.0002544391027186066,0.018053719773888588,0.004908153787255287,-0.0038599767722189426,0.02198977582156658,0.005205128341913223,65
0.001449626055546105,0.017325788736343384,0.0042762765660882,0.00042261616908945143,0.01991238258779049,0.007187420502305031,66
0.0029911671299487352,0.01639283075928688,0.003553601447492838,0.003486554604023695,0.015042616054415703,0.006757196970283985,67
0.004670288879424334,0.015534382313489914,0.0028208154253661633,0.0005966275930404663,0.011276802979409695,-0.0006295433267951012,68
0.006133854854851961,0.014304162934422493,0.0020382513757795095,0.00480029359459877,0.013790061697363853,0.001388562610372901,69
0.007654446177184582,0.01291690394282341,0.0010357159189879894,0.0063852546736598015,0.013158395886421204,-0.0019373835530132055,70
0.009133851155638695,0.011401564814150333,-7.504284440074116e-05,0.009713876992464066,0.009241617284715176,0.0036769486032426357,71
