T1,T2,T3,T4,t
0.08869655430316925,0.08568725734949112,0.11002268642187119,0.11037091165781021,0
0.05366178974509239,0.1045488715171814,0.10033911466598511,0.12398676574230194,1
0.023529134690761566,0.1378883421421051,0.07427939772605896,0.13198304176330566,2
0.05306389555335045,0.140903502702713,0.06590305268764496,0.11715050786733627,3
0.08807297050952911,0.1230727955698967,0.07329556345939636,0.10341855138540268,4
0.08835650980472565,0.12818269431591034,0.05855722352862358,0.11204540729522705,5
0.08716773241758347,0.12930648028850555,0.05859516188502312,0.12246350944042206,6
0.09825414419174194,0.11547257751226425,0.07548311352729797,0.1186370924115181,7
0.09259047359228134,0.1139887124300003,0.08116470277309418,0.11853305995464325,8
0.08167427033185959,0.12005310505628586,0.07511083036661148,0.12091321498155594,9
0.09867614507675171,0.09856315702199936,0.09564977139234543,0.10734180361032486,10
0.08727484196424484,0.1057078093290329,0.08729694783687592,0.10685402154922485,11
0.08479607105255127,0.10662353783845901,0.08888708055019379,0.10656420141458511,12
0.082181915640831,0.10891393572092056,0.08401303738355637,0.10794446617364883,13
0.07255379110574722,0.11185105890035629,0.07528935372829437,0.10929245501756668,14
0.07703815400600433,0.1082788035273552,0.08005959540605545,0.11133772879838943,15
0.0725192204117775,0.10965730249881744,0.07628187537193298,0.1123674213886261,16
0.0718240737915039,0.11392232030630112,0.07513129711151123,0.11815191060304642,17
0.0630565658211708,0.12264189124107361,0.06572498381137848,0.12369555234909058,18
0.07025769352912903,0.11415325105190277,0.07651547342538834,0.12295572459697723,19
0.07008089125156403,0.12211475521326065,0.0710764080286026,0.1287330836057663,20
0.07245948910713196,0.11961282789707184,0.07885311543941498,0.1286565512418747,21
0.07648447901010513,0.11611361056566238,0.08243851363658905,0.12311587482690811,22
0.08575237542390823,0.11526894569396973,0.09788530319929123,0.12512418627738953,23
0.08823467791080475,0.11760307103395462,0.09643295407295227,0.1236102357506752,24
0.09837262332439423,0.10704031586647034,0.10668714344501495,0.1085648238658905,25
