moment X,moment Y,moment Z,t
-0.0005778775084763765,-0.0010006834054365754,-0.0007959051872603595,0
0.0008893275517039001,-0.0005077817477285862,-0.0009706623386591673,1
0.0008097921963781118,-5.372194937081076e-05,-0.0007744618342258036,2
0.0001946382544701919,8.661625906825066e-05,-0.0008968830807134509,3
0.00016384712944272906,7.454367005266249e-05,-0.0005181450396776199,4
-2.7029494958696887e-05,0.00019172004249412566,-0.00022201244428288192,5
-0.00031098563340492547,0.00024887369363568723,-0.00017713240231387317,6
-0.00025870284298434854,1.2049967153870966e-05,-0.00018365673895459622,7
6.0556281823664904e-05,0.00011251219984842464,0.0001684213348198682,8
-0.0002473109634593129,0.00038113637128844857,0.00030780379893258214,9
-0.0002296818420290947,0.0001504838583059609,0.00033890223130583763,10
-0.00021254195598885417,0.00025502010248601437,0.00031710733310319483,11
-0.00015437738329637796,0.0002625751949381083,0.00046947438386268914,12
-0.0001990882883546874,0.0003256454656366259,0.00036255078157410026,13
-0.00011485094728413969,0.00022214697673916817,0.000549459713511169,14
-6.928392394911498e-05,0.00026689941296353936,0.0004977782373316586,15
5.479318497236818e-05,0.00010844308417290449,0.00031320113339461386,16
1.755231096467469e-05,5.347621117834933e-05,0.0004956445773132145,17
0.00016500515630468726,2.4975281121442094e-05,0.000495949643664062,18
-4.3113741412525997e-05,6.441952427849174e-05,0.0004043811350129545,19
-5.700384281226434e-05,1.6101186702144332e-05,0.0003256324562244117,20
-4.009272379335016e-05,2.750821840891149e-05,0.0002785608812700957,21
4.1575971408747137e-05,-3.9987142372410744e-05,0.0004069215792696923,22
-1.7869591829366982e-05,2.855470302165486e-05,0.0002304704685229808,23
-3.175293386448175e-05,-6.1743390688207e-05,0.0002313734294148162,24
-4.530191745288903e-06,-0.00016796798445284367,7.398887100862339e-05,25
3.28381902363617e-05,-0.00011662826727842912,0.00018339497910346836,26
-1.277311548619764e-05,-0.0002861253160517663,-0.0002735511807259172,27
0.00023274369596038014,-0.00034444956691004336,-0.00019116832118015736,28
-1.000845804810524e-05,-0.0002697210875339806,-0.0002132655936293304,29
3.4940785553772e-05,-0.0004699825367424637,-0.0004317321872804314,30
0.00013748060155194253,-0.0002237006410723552,-0.00025387186906300485,31
5.130740100867115e-05,-0.0002871134493034333,-0.0003548269160091877,32
-0.0002035108773270622,-0.0002950735797639936,-0.0004209640028420836,33
0.0001598557864781469,-0.00032056550844572484,-0.0005825473344884813,34
0.00020236888667568564,-0.00045763811795040965,-0.000608809816185385,35
-7.998512592166662e-05,-0.00027845922159031034,-0.0005777051555924118,36
0.0002768042031675577,5.498033715412021e-05,-0.00023824804520700127,37
1.79485505213961e-05,-0.0005867361323907971,-0.000667611020617187,38
0.000109741413325537,-0.00012378486280795187,-0.0007103091920726001,39
0.00028121090144850314,-5.959505870123394e-05,-0.0005414169863797724,40
6.352028140099719e-05,-1.578371666255407e-05,-0.0004195494402665645,41
0.00016194448107853532,4.6075852878857404e-05,-0.0003919157315976918,42
-0.00014910590834915638,0.00041757820872589946,-5.566637992160395e-05,43
7.671539788134396e-05,8.161948062479496e-05,-0.0001444840308977291,44
-2.751905412878841e-05,0.000516917381901294,0.0003702234826050699,45
-0.0002973336377181113,0.00020001930533908308,0.0001171126205008477,46
