a_vel X,a_vel Y,a_vel Z,t
-0.2330055981874466,-0.277885764837265,0.5266945362091064,0
-0.7554904222488403,-0.9126526117324829,-0.42740899324417114,1
0.17112207412719727,-1.4940237998962402,-1.0016900300979614,2
1.0963013172149658,-1.5423537492752075,-1.4249720573425293,3
1.4237313270568848,-1.2908908128738403,-1.8163028955459595,4
1.5091636180877686,-1.1137197017669678,-2.1454529762268066,5
1.3402149677276611,-1.0901119709014893,-2.3579928874969482,6
1.1927990913391113,-0.8766210675239563,-2.5032687187194824,7
1.0266658067703247,-0.6625753045082092,-2.448312759399414,8
0.7577771544456482,-0.4567633867263794,-2.4784975051879883,9
0.5973064303398132,-0.2080947309732437,-2.4182848930358887,10
0.510206937789917,-0.0430583655834198,-2.216545343399048,11
0.4410397410392761,0.33255329728126526,-1.9357792139053345,12
0.36948466300964355,0.6117389798164368,-1.6534653902053833,13
0.29808926582336426,0.9534003138542175,-1.3766566514968872,14
0.2789304256439209,1.2207615375518799,-1.2006525993347168,15
0.35227060317993164,1.2232882976531982,-0.9295833706855774,16
0.3797514736652374,1.4306836128234863,-0.6594782471656799,17
0.5156052708625793,1.3538566827774048,-0.3880493938922882,18
0.6357328295707703,1.2517486810684204,-0.026421668007969856,19
0.6729510426521301,1.3619928359985352,0.27204835414886475,20
0.6368797421455383,1.465468168258667,0.5548383593559265,21
0.6133426427841187,1.4772443771362305,0.7106773853302002,22
0.5920946002006531,1.5698883533477783,1.035588026046753,23
0.609123706817627,1.601828932762146,1.2724251747131348,24
0.5152287483215332,1.6633449792861938,1.4117876291275024,25
0.45913976430892944,1.5381780862808228,1.4915847778320312,26
0.45515215396881104,1.3036220073699951,1.5340673923492432,27
0.43497776985168457,1.1608715057373047,1.5097047090530396,28
0.23356294631958008,0.8860211372375488,1.328654408454895,29
0.20469233393669128,0.6460422873497009,1.0755962133407593,30
0.01962323859333992,0.35472503304481506,0.8602771759033203,31
-0.15927964448928833,0.03937499597668648,0.5706337690353394,32
-0.14246687293052673,-0.22632810473442078,0.28942838311195374,33
-0.5673103928565979,-0.5681778192520142,-0.009674154222011566,34
-0.405721515417099,-0.6241315603256226,-0.3211625814437866,35
-0.8033403754234314,-1.1218907833099365,-0.6802574396133423,36
-0.8014272451400757,-1.2183456420898438,-1.0835778713226318,37
-0.7802691459655762,-1.3883483409881592,-1.3453550338745117,38
-0.8803367614746094,-1.7620348930358887,-1.756932020187378,39
-0.8957085609436035,-1.7538233995437622,-2.0265228748321533,40
-1.070531964302063,-2.0317609310150146,-2.440579414367676,41
-0.8451889753341675,-1.7690659761428833,-2.650658369064331,42
-0.8908599615097046,-1.9747881889343262,-2.8945305347442627,43
-0.6992923021316528,-1.5954567193984985,-2.9682607650756836,44
-0.49029093980789185,-1.524889588356018,-2.9102580547332764,45
-0.44246330857276917,-1.0529963970184326,-2.8572940826416016,46
-0.4403255879878998,-0.584552526473999,-2.657362699508667,47
-0.28133827447891235,-0.5991672277450562,-2.6260499954223633,48
-0.1404581367969513,-0.20588749647140503,-2.3246562480926514,49
-0.12294383347034454,0.16210120916366577,-2.0702083110809326,50
0.10138235986232758,0.44431596994400024,-1.668321132659912,51
0.22810254991054535,0.4302380681037903,-1.4051134586334229,52
0.3239336907863617,0.7286283373832703,-1.078421711921692,53
0.4932825267314911,0.9306419491767883,-0.7416920065879822,54
0.6799027919769287,0.849234402179718,-0.38596585392951965,55
0.6384227275848389,1.156400203704834,-0.08855672180652618,56
0.9650024175643921,1.0486420392990112,0.25000306963920593,57
1.0366841554641724,0.8275661468505859,0.5279970169067383,58
0.9987707138061523,0.9816784858703613,0.8296145796775818,59
1.1667617559432983,0.8583533763885498,0.9460005164146423,60
1.067531943321228,0.824960470199585,1.1505662202835083,61
1.1351290941238403,0.7699732780456543,1.2649610042572021,62
0.9681122303009033,0.7063370943069458,1.2860033512115479,63
0.9214481115341187,0.7251120209693909,1.3999205827713013,64
0.8983351588249207,0.577567458152771,1.3554412126541138,65
0.6390164494514465,0.29481634497642517,1.1899868249893188,66
0.39628493785858154,0.2026166319847107,1.0660920143127441,67
0.27745431661605835,0.0025581535883247852,0.9087109565734863,68
0.05953950807452202,0.03624682500958443,0.8407114744186401,69
-0.2050221860408783,0.03038361668586731,0.6750880479812622,70
-0.13155557215213776,-0.06473647058010101,0.5077899098396301,71
-0.24090977013111115,-0.2593517303466797,0.4020957350730896,72
-0.6004708409309387,-0.23525181412696838,0.27593424916267395,73
-0.42977410554885864,-0.24352020025253296,0.12627416849136353,74
-0.677314043045044,-0.669100284576416,-0.1527663767337799,75
-0.9586135745048523,-0.758460521697998,-0.4229740500450134,76
-0.9625787734985352,-0.6279245018959045,-0.6080851554870605,77
-0.8965355753898621,-0.6554930210113525,-0.7318456768989563,78
-1.0941522121429443,-0.762606143951416,-0.9263715147972107,79
-1.0229291915893555,-0.5628262758255005,-0.979771614074707,80
-0.8377525806427002,-0.5559084415435791,-0.918387770652771,81
-1.1789593696594238,-0.6428687572479248,-1.1306102275848389,82
-0.8989189863204956,-0.5567148923873901,-1.2708405256271362,83
