T1_change,T2_change,T3_change,T4_change,t
0.07304228097200394,0.018473919481039047,0.09304240345954895,0.01799168810248375,0
0.007383473217487335,-0.012041579931974411,-0.009712062776088715,-0.0015598870813846588,1
-0.002314046025276184,0.002896711230278015,0.000712074339389801,0.00021938979625701904,2
0.01866622269153595,0.011545855551958084,0.015974700450897217,0.007143992930650711,3
-0.0001085326075553894,0.011633101850748062,-0.002164609730243683,0.01473037526011467,4
-0.004158526659011841,0.02204703539609909,-0.008819714188575745,0.01969798654317856,5
0.017896749079227448,0.017912395298480988,0.016746781766414642,0.011592797935009003,6
-0.005241796374320984,0.02526136487722397,-0.0027928128838539124,0.022706203162670135,7
-0.0013882890343666077,0.01844152808189392,-0.004071049392223358,0.019367337226867676,8
0.008248642086982727,0.007304422557353973,0.00882013887166977,0.008198298513889313,9
-0.014225266873836517,0.01460132747888565,-0.015554271638393402,0.014619864523410797,10
0.008361771702766418,0.0027047544717788696,0.008707717061042786,0.0007435381412506104,11
0.023183733224868774,-0.0023093372583389282,0.023705467581748962,-0.00224439799785614,12
-0.014009945094585419,0.004267513751983643,-0.013178631663322449,0.007418781518936157,13
-0.010433264076709747,-0.00023542344570159912,-0.01125653088092804,0.001072704792022705,14
-0.014702342450618744,-0.004952535033226013,-0.014223217964172363,-0.0030490458011627197,15
0.00214318186044693,-0.003530949354171753,0.0004056170582771301,-0.006971687078475952,16
-0.016222454607486725,-0.0077133625745773315,-0.014189720153808594,-0.004308134317398071,17
0.0026507899165153503,-0.008188791573047638,0.003762252628803253,-0.01034431904554367,18
-0.013673827052116394,-0.010101042687892914,-0.012957245111465454,-0.006608732044696808,19
-0.00991629809141159,-0.010876350104808807,-0.0073206499218940735,-0.011412195861339569,20
-0.008989199995994568,-0.008633486926555634,-0.010355189442634583,-0.010541297495365143,21
0.005524970591068268,-0.00951685756444931,0.005298621952533722,-0.009678862988948822,22
-0.012978468090295792,-0.009017065167427063,-0.010256052017211914,-0.008711673319339752,23
-0.004600685089826584,-0.008759379386901855,-0.006346799433231354,-0.010870635509490967,24
-0.017458973452448845,-0.007782239466905594,-0.01705886796116829,-0.005715500563383102,25
0.01993579976260662,-0.011292893439531326,0.0192565880715847,-0.016234684735536575,26
-0.0029762722551822662,-0.007373038679361343,-0.001248195767402649,-0.0021053142845630646,27
0.007813218981027603,-0.012246470898389816,0.012503731995821,-0.009800497442483902,28
-0.0136515311896801,-0.011576772667467594,-0.012027382850646973,-0.010033083148300648,29
0.011060133576393127,-0.001627136953175068,0.016375910490751266,-0.005558964796364307,30
0.002200070768594742,-0.001768365502357483,-0.003948532044887543,-0.00025668367743492126,31
-0.012710556387901306,-0.007291300222277641,-0.01499052345752716,-0.007842609658837318,32
0.008457645773887634,0.004391036927700043,0.013574391603469849,0.005540046840906143,33
0.01723659411072731,0.008545227348804474,0.016076304018497467,0.003740951418876648,34
0.012167777866125107,0.00677347369492054,0.00773138552904129,0.008501218631863594,35
0.003667294979095459,0.0052777547389268875,0.006508372724056244,0.008667970076203346,36
-0.01755087450146675,-0.0006112642586231232,-0.021446574479341507,0.0035205744206905365,37
0.016700107604265213,0.009799368679523468,0.023707594722509384,-0.0012691840529441833,38
0.020155295729637146,0.007992800325155258,0.010332092642784119,0.01630755141377449,39
0.002164117991924286,0.008275650441646576,0.008684329688549042,0.0033045336604118347,40
0.005979098379611969,0.0007779970765113831,-0.0008250102400779724,0.009792543947696686,41
-0.01748918741941452,0.012632764875888824,-0.01659029722213745,0.0011234991252422333,42
0.031744249165058136,0.0014399811625480652,0.03203622251749039,0.008513111621141434,43
-0.008575528860092163,0.009695373475551605,-0.011778280138969421,0.007193021476268768,44
-0.013939805328845978,0.012102432548999786,-0.018098950386047363,0.010257638990879059,45
0.006908990442752838,0.004129305481910706,0.009196773171424866,0.006083935499191284,46
-0.01688820868730545,0.01027873158454895,-0.020567581057548523,0.007025495171546936,47
-0.00265338271856308,0.0075399503111839294,-0.0017092972993850708,0.005477301776409149,48
0.003344818949699402,0.0055533647537231445,0.003859907388687134,0.005567073822021484,49
0.006069563329219818,-0.0007389932870864868,0.008730001747608185,0.0031669139862060547,50
-0.010309368371963501,0.004194892942905426,-0.01184188574552536,-0.0010386034846305847,51
0.015647806227207184,-0.0018679425120353699,0.017711631953716278,0.004428975284099579,52
-0.03492441773414612,-0.0026685744524002075,-0.03604179993271828,-0.0026659518480300903,53
0.014243818819522858,-0.0004196241497993469,0.013521779328584671,-0.0064035579562187195,54
-0.004750773310661316,-0.0003464892506599426,-0.004333123564720154,0.0018805339932441711,55
0.008778035640716553,-0.0036370307207107544,0.010620124638080597,0.003234460949897766,56
-0.020380564033985138,-0.00836808979511261,-0.0200636088848114,-0.007866278290748596,57
0.0004763603210449219,-0.013103879988193512,0.0029579810798168182,-0.019535742700099945,58
0.004326649010181427,-0.0021052509546279907,0.002437759190797806,-0.002562209963798523,59
0.002263784408569336,-0.006888866424560547,0.003992151468992233,0.0008146613836288452,60
-0.018780309706926346,-0.010813355445861816,-0.01672722026705742,-0.015707701444625854,61
0.00034184008836746216,-0.0046033114194869995,-0.002303343266248703,-0.006132155656814575,62
0.0005244091153144836,-0.0060557350516319275,0.002901732921600342,-0.004883162677288055,63
0.006335198879241943,-0.00883052870631218,0.008677303791046143,-0.005278278142213821,64
-0.005348697304725647,-0.005516469478607178,-0.004810292273759842,-0.01089061051607132,65
-0.002005361020565033,0.00203859806060791,-0.005428258329629898,0.0005921646952629089,66
0.022670704871416092,-0.002877321094274521,0.02637997642159462,0.0028404928743839264,67
