drag X,drag Y,drag Z,X_n,Y_n,Z_n,t
-0.010092685930430889,-0.009965991601347923,-0.0,-0.0013342874590307474,0.0014289466198533773,0.0002471212937962264,0
-0.00988907739520073,-0.010039751417934895,0.000821251014713198,-0.009601629339158535,-0.013097347691655159,-0.004085840657353401,1
-0.009494530037045479,-0.010146926157176495,0.001676540239714086,-0.009752197191119194,-0.01074493583291769,-0.003407824318856001,2
-0.00902518443763256,-0.010255945846438408,0.0026600994169712067,-0.010577927343547344,-0.006664720829576254,0.003955979365855455,3
-0.008487955667078495,-0.010499529540538788,0.003371404716745019,-0.00617067888379097,-0.010393049567937851,0.0021711434237658978,4
-0.007634418550878763,-0.010524848476052284,0.003925534430891275,-0.006395284552127123,-0.007462074980139732,-0.00174616533331573,5
-0.006901038810610771,-0.010583887808024883,0.004312912933528423,-0.010647471994161606,-0.01431067381054163,0.0010399725288152695,6
-0.006217136979103088,-0.01044397708028555,0.004361309576779604,-0.01153022050857544,-0.014452625066041946,0.011026328429579735,7
-0.005250588525086641,-0.01041438803076744,0.003798397723585367,-0.0067436834797263145,-0.00875893421471119,0.0010313717648386955,8
-0.004247121047228575,-0.010228816419839859,0.0030951842200011015,-0.0036492301151156425,-0.006052298471331596,0.008096346631646156,9
-0.0035279872827231884,-0.010063862428069115,0.0020098641980439425,0.00218895822763443,-0.014833487570285797,0.002524541225284338,10
-0.0026448857970535755,-0.009924827143549919,0.0008246400975622237,0.0012021181173622608,-0.005154277663677931,0.007859505712985992,11
-0.0018635275773704052,-0.009566265158355236,-0.0007044479134492576,-0.0003844646271318197,-0.01520533673465252,0.0017867770511657,12
-0.0011127251200377941,-0.0093041080981493,-0.0020761978812515736,0.0009887462947517633,-0.009274523705244064,-0.0007753373356536031,13
-0.0004060709325131029,-0.008705079555511475,-0.0035165157169103622,-0.0028754444792866707,-0.01301204226911068,-0.0006218819180503488,14
2.9528737286454998e-05,-0.008179559372365475,-0.004843589384108782,-0.0020914438646286726,-0.009137149900197983,-0.005559503100812435,15
0.0008320256602019072,-0.00790838897228241,-0.006008933763951063,-0.004195427987724543,-0.010316731408238411,-0.012230949476361275,16
0.0013319957070052624,-0.007430269382894039,-0.006802501156926155,0.00035263385507278144,-0.008464161306619644,-0.0029999143444001675,17
0.0017575675155967474,-0.006864782422780991,-0.007774055935442448,0.0028754393570125103,-0.01669621467590332,-0.0014223000034689903,18
0.002179625676944852,-0.006386732682585716,-0.008531658910214901,0.0026382647920399904,-0.010064425878226757,-0.010086494497954845,19
0.0025303219445049763,-0.005962816998362541,-0.008989023976027966,0.001505149295553565,-0.005375832784920931,-0.006029063370078802,20
0.002620277926325798,-0.0059072766453027725,-0.009266906417906284,-0.0013437385205179453,-0.0061575304716825485,-0.007195082493126392,21
0.0028200543019920588,-0.005240601021796465,-0.009340167045593262,0.0018012200016528368,-0.007440066430717707,-0.0018432801589369774,22
0.0028585807885974646,-0.00524777639657259,-0.00926906242966652,0.004599062260240316,0.0007505849935114384,-0.008398445323109627,23
0.0029771195258945227,-0.004761252086609602,-0.009055851958692074,0.0004375171847641468,-0.01098900567740202,-0.011677120812237263,24
0.0027011348865926266,-0.004623772576451302,-0.008517886511981487,-0.000532051082700491,-0.004472209140658379,-0.009199374355375767,25
0.002653316827490926,-0.0043178582563996315,-0.007980638183653355,0.004702496808022261,-0.0010747956112027168,-0.006853057071566582,26
0.002283177338540554,-0.004280744586139917,-0.0073928204365074635,-0.0014049552846699953,-0.003522847779095173,-0.01061827689409256,27
0.0020505923312157393,-0.0038342545740306377,-0.006670952308923006,0.002808702178299427,-0.005507131107151508,-0.0038738322909921408,28
0.0015912747476249933,-0.003617304377257824,-0.00604567164555192,0.0003246655687689781,-0.011517777107656002,-0.004259290173649788,29
0.0009982329793274403,-0.003498784266412258,-0.0054324232041835785,0.0008134471718221903,-0.00614231638610363,-0.007175145670771599,30
0.0007342499447986484,-0.0032991741318255663,-0.004691259935498238,0.0019524246454238892,-0.002087827306240797,-0.017096783965826035,31
0.00046572176506742835,-0.003130176104605198,-0.0035255018156021833,0.001141154789365828,-0.005623358301818371,-0.008865967392921448,32
-4.7672689106548205e-05,-0.0027142094913870096,-0.0025282164569944143,0.00025809602811932564,0.0015359721146523952,-0.003459734143689275,33
