l_vel X,l_vel Y,l_vel Z,t
-0.9835838079452515,-0.5578953623771667,0.05000516399741173,113
-0.9843196272850037,-0.538241446018219,0.0645659863948822,114
-0.9844104647636414,-0.5207453370094299,0.06487423181533813,115
-0.9853952527046204,-0.5011888742446899,0.09174444526433945,116
-0.985209584236145,-0.4821200966835022,0.10567022860050201,117
-0.9846285581588745,-0.46484315395355225,0.10696064680814743,118
-0.984168529510498,-0.4476994276046753,0.11867033690214157,119
-0.9833342432975769,-0.43290311098098755,0.11039219796657562,120
-0.9828354716300964,-0.4183226227760315,0.10639743506908417,121
-0.9810347557067871,-0.4028940498828888,0.11427772790193558,122
-0.979139506816864,-0.3889855146408081,0.1191146969795227,123
-0.9771081805229187,-0.37520167231559753,0.13762156665325165,124
-0.9760115742683411,-0.36257392168045044,0.13680967688560486,125
-0.974058210849762,-0.35023289918899536,0.13972023129463196,126
-0.9728707671165466,-0.34036046266555786,0.1263081580400467,127
-0.9721776247024536,-0.33049020171165466,0.1315564215183258,128
-0.9705161452293396,-0.32047590613365173,0.14275293052196503,129
-0.9689295887947083,-0.3115791380405426,0.16356688737869263,130
-0.9693090319633484,-0.30461934208869934,0.15201327204704285,131
-0.966827392578125,-0.29483330249786377,0.1723901480436325,132
-0.9635347127914429,-0.2862785756587982,0.19343042373657227,133
-0.9617161154747009,-0.27944689989089966,0.19497932493686676,134
-0.9604713916778564,-0.27252739667892456,0.19640062749385834,135
-0.9581272006034851,-0.26549774408340454,0.20048855245113373,136
-0.9577205777168274,-0.25941434502601624,0.20405906438827515,137
-0.9556601047515869,-0.2531512379646301,0.20527003705501556,138
-0.9528202414512634,-0.24653252959251404,0.21990008652210236,139
-0.9508931040763855,-0.24220892786979675,0.19755545258522034,140
-0.9481847882270813,-0.23712334036827087,0.20962291955947876,141
-0.9453345537185669,-0.23345257341861725,0.1996830254793167,142
-0.9410402774810791,-0.22926722466945648,0.22533750534057617,143
-0.9384997487068176,-0.22648155689239502,0.24104782938957214,144
-0.9334545731544495,-0.22209039330482483,0.2685401141643524,145
-0.9285655617713928,-0.2186199426651001,0.28901347517967224,146
-0.9253652095794678,-0.21526972949504852,0.30029287934303284,147
-0.9208517670631409,-0.21060079336166382,0.32421207427978516,148
-0.9167518019676208,-0.20714545249938965,0.3442935347557068,149
-0.9147912859916687,-0.20454753935337067,0.3270442485809326,150
-0.9123223423957825,-0.20238105952739716,0.31608542799949646,151
-0.9090155363082886,-0.200579434633255,0.31956806778907776,152
-0.905257523059845,-0.1995028853416443,0.32627204060554504,153
-0.9006726145744324,-0.19872485101222992,0.3308415114879608,154
