drag X,drag Y,drag Z,X_n,Y_n,Z_n,t
-0.01002933457493782,-0.010218250565230846,-0.0,0.0006898852298036218,-0.0007370408857241273,0.005475490354001522,0
-0.009783194400370121,-0.009921491146087646,0.0006481167511083186,-0.009245849214494228,-0.01630665548145771,0.0017644050531089306,1
-0.009516238234937191,-0.010197355411946774,0.0013550155563279986,-0.014795600436627865,-0.013103829696774483,-0.0013629691675305367,2
-0.009222391061484814,-0.01028547901660204,0.0022946265526115894,-0.008921520784497261,-0.006759552285075188,-0.0020564855076372623,3
-0.008687554858624935,-0.010538655333220959,0.0031598263885825872,-0.01108701154589653,-0.013850800693035126,0.003628999227657914,4
-0.007597430609166622,-0.010714547708630562,0.0037150925491005182,-0.0051698870956897736,-0.011359316296875477,0.004449606407433748,5
-0.006823067553341389,-0.010594261810183525,0.0038849678821861744,-0.010500446893274784,-0.010649599134922028,0.012335749343037605,6
-0.006006626877933741,-0.010761491023004055,0.003619543509557843,-0.00458996556699276,-0.010618569329380989,0.005144275724887848,7
-0.004681908525526524,-0.01044143084436655,0.0030268393456935883,-0.008370479568839073,-0.007623940706253052,0.010212167166173458,8
-0.0037255852948874235,-0.010406337678432465,0.002125788014382124,-0.011167045682668686,-0.014606168493628502,0.0024393608327955008,9
-0.003048580838367343,-0.010067637078464031,0.0011867072898894548,-0.004621684551239014,-0.006814080290496349,0.0014784535160288215,10
-0.0021379333920776844,-0.009986583143472672,-5.994051389279775e-05,-0.0019863841589540243,-0.012339194305241108,-0.0005179840372875333,11
-0.0012415051460266113,-0.00961390696465969,-0.0014876991044729948,-0.0007304261671379209,-0.012858427129685879,0.004477352369576693,12
-0.000447489001089707,-0.009183517657220364,-0.003147594630718231,0.0017865172121673822,-0.008809160441160202,-0.0023895539343357086,13
0.0003327780868858099,-0.008526469580829144,-0.004781865514814854,0.001012164750136435,-0.009293684735894203,-0.008808024227619171,14
0.0009746701689437032,-0.00807102583348751,-0.006100486498326063,0.007918782532215118,-0.0087382011115551,-0.005758523941040039,15
0.00135125033557415,-0.007457403466105461,-0.007419624365866184,0.002264413982629776,-0.010588044300675392,-0.007009781431406736,16
0.0021247256081551313,-0.0070979963056743145,-0.008519496768712997,-0.000599804101511836,-0.006101010367274284,-0.007159833330661058,17
0.002576038707047701,-0.006675437092781067,-0.009366865269839764,-0.0021679161582142115,-0.0074056703597307205,-0.014253571629524231,18
0.0029053573962301016,-0.0063196453265845776,-0.009650316089391708,0.004265590105205774,-0.010478721931576729,-0.005641079507768154,19
0.003101009177044034,-0.005800839513540268,-0.0098952641710639,0.0024164847563952208,-0.006688073743134737,-0.008358153514564037,20
0.0032241700682789087,-0.005456956103444099,-0.009987928904592991,0.004566742107272148,-0.008150633424520493,-0.008480525575578213,21
0.003439725609496236,-0.0050077480264008045,-0.009807835333049297,-0.0004738930147141218,-0.008151157759130001,-0.009953030385077,22
0.0032994388602674007,-0.0047746142372488976,-0.009467335417866707,0.0051504517905414104,-0.0015568425878882408,-0.013448506593704224,23
0.0032675883267074823,-0.00446560513228178,-0.008821329101920128,0.0017460329690948129,-0.006739700213074684,-0.008951690047979355,24
0.0030793785117566586,-0.00439738854765892,-0.008067217655479908,0.0052670668810606,-0.006841079797595739,-0.007034130394458771,25
0.0028178745415061712,-0.00396690284833312,-0.007333584129810333,-0.0012902161106467247,-0.0025944896042346954,-0.004490558989346027,26
0.002562476322054863,-0.004002566449344158,-0.0065871719270944595,0.0032088502775877714,-0.008641453459858894,-0.006708519067615271,27
0.0019916724413633347,-0.0037303923163563013,-0.005745986942201853,0.005617991089820862,-0.006306133233010769,-0.004891593940556049,28
0.0016978182829916477,-0.00342263444326818,-0.004870069213211536,-4.9429479986429214e-05,-0.005137202795594931,-0.004970475099980831,29
0.0008391389274038374,-0.0031520510092377663,-0.00415445864200592,-0.0023238039575517178,-0.0066457707434892654,-0.004825586453080177,30
0.0003766989684663713,-0.003040899056941271,-0.0032438854686915874,0.004294520244002342,-0.0031179962679743767,-0.008870500139892101,31
-4.4369694478518795e-06,-0.0028600632213056087,-0.0021906220354139805,0.002848055213689804,-0.006987155415117741,-0.005752346478402615,32
-0.0005932843778282404,-0.002623066771775484,-0.001312027219682932,-0.0006714013288728893,-6.137648597359657e-05,-0.0038496553897857666,33
-0.0010452031856402755,-0.0027295362669974566,-0.000613517826423049,-0.0013092180015519261,-0.007092403247952461,-0.0029174957890063524,34
-0.0014540872070938349,-0.002603334141895175,5.508363028638996e-05,0.0028681918047368526,-0.0027869832701981068,0.0006966597866266966,35
-0.0017000380903482437,-0.002329666633158922,0.00041835947195068,0.00424580555409193,-0.0003996791783720255,-0.002541756257414818,36
-0.001976409461349249,-0.0023923765402287245,0.0007549713482148945,-0.002738556358963251,0.0016423962078988552,0.0011182704474776983,37
-0.0022934353910386562,-0.0025080633349716663,0.0008641576860100031,-0.00018681003712117672,0.0010351662058383226,0.005384968593716621,38
-0.0023523755371570587,-0.0020604776218533516,0.0007517695194110274,-0.002684511011466384,-0.005634245462715626,0.007963070645928383,39
-0.00250820629298687,-0.0021799730602651834,0.00044000294292345643,-0.004164014011621475,-0.0009535453282296658,0.003543841652572155,40
