total thrust f,t
0.39389610290527344,0
0.3531244397163391,1
0.3680136799812317,2
0.36176633834838867,3
0.36121827363967896,4
0.354566752910614,5
0.35976091027259827,6
0.3630927801132202,7
0.3550206124782562,8
0.3608025014400482,9
0.3595373332500458,10
0.37126830220222473,11
0.38097184896469116,12
0.38062864542007446,13
0.3777998685836792,14
0.3741299510002136,15
0.37620294094085693,16
0.36774104833602905,17
0.36060386896133423,18
0.3611333966255188,19
0.3606553375720978,20
0.36164146661758423,21
0.3674556016921997,22
0.37849733233451843,23
0.3841008245944977,24
0.3950989842414856,25
0.3991275429725647,26
0.40055620670318604,27
0.4013541638851166,28
0.39881283044815063,29
0.4050516188144684,30
0.38433969020843506,31
0.3786082863807678,32
0.385368674993515,33
0.3759559988975525,34
0.3940789997577667,35
0.40217921137809753,36
0.4145124852657318,37
0.4248252809047699,38
0.41176384687423706,39
0.4067135751247406,40
0.401310533285141,41
0.3924753963947296,42
0.37674981355667114,43
0.3566015958786011,44
0.3277449607849121,45
0.33816543221473694,46
0.29945990443229675,47
0.28632649779319763,48
0.2621978521347046,49
0.25581103563308716,50
0.206063374876976,51
0.2366904765367508,52
0.23245958983898163,53
0.1848934441804886,54
0.23978646099567413,55
0.22877195477485657,56
0.2247045785188675,57
0.25561487674713135,58
0.22893410921096802,59
0.2616526484489441,60
0.2388085573911667,61
0.2585352957248688,62
0.2680245637893677,63
0.2710709571838379,64
0.2585519254207611,65
0.2938590347766876,66
0.2998298406600952,67
0.307330846786499,68
0.30322667956352234,69
0.32631322741508484,70
0.2968800961971283,71
0.3180699944496155,72
0.3214081823825836,73
0.31690001487731934,74
0.2900967597961426,75
0.2823144197463989,76
0.27436912059783936,77
0.27718400955200195,78
0.2748512923717499,79
0.2866421043872833,80
0.3022410571575165,81
0.31610536575317383,82
0.2869599163532257,83
0.31069260835647583,84
0.3005026578903198,85
0.3197386562824249,86
0.33180978894233704,87
0.35149815678596497,88
0.3378638029098511,89
0.3085373044013977,90
0.3261980414390564,91
0.3061104416847229,92
0.3387001156806946,93
0.2858465015888214,94
0.32005396485328674,95
0.33834919333457947,96
0.3215138018131256,97
0.31214481592178345,98
0.2603936791419983,99
0.31602320075035095,100
0.3006904721260071,101
0.305615097284317,102
0.29255378246307373,103
0.2842244505882263,104
0.28728917241096497,105
0.27686238288879395,106
0.28520455956459045,107
0.2797759175300598,108
0.28549841046333313,109
0.2620478570461273,110
0.2719837427139282,111
0.26152923703193665,112
0.28904905915260315,113
0.2764061987400055,114
0.2722538113594055,115
0.2761154770851135,116
0.26694586873054504,117
0.263088583946228,118
0.25730669498443604,119
0.293209433555603,120
0.26534703373908997,121
0.2896807789802551,122
0.2919357717037201,123
0.2923240065574646,124
0.26451388001441956,125
0.26727983355522156,126
0.26101845502853394,127
0.27475666999816895,128
0.289531409740448,129
0.2959129810333252,130
0.274722158908844,131
0.2894423007965088,132
0.28845739364624023,133
0.2942019999027252,134
0.28321269154548645,135
0.2861631512641907,136
0.2919451594352722,137
0.30170169472694397,138
0.3051944375038147,139
0.3044453561306,140
0.30411380529403687,141
0.3152100443840027,142
0.3127489387989044,143
0.28333020210266113,144
0.3159372806549072,145
0.30335482954978943,146
0.3339906334877014,147
0.3190171718597412,148
0.31582340598106384,149
0.31500548124313354,150
0.33944860100746155,151
0.3243894577026367,152
0.29649946093559265,153
0.32178154587745667,154
0.30669859051704407,155
0.32948189973831177,156
0.29407602548599243,157
0.3333950340747833,158
0.3023822605609894,159
0.31135159730911255,160
0.3123466968536377,161
0.31773534417152405,162
0.32154425978660583,163
0.2774691879749298,164
0.3136118948459625,165
0.2924947738647461,166
0.2939290404319763,167
0.2921223044395447,168
0.32547926902770996,169
0.29885607957839966,170
0.2964354157447815,171
0.30233532190322876,172
0.27321431040763855,173
0.2870486080646515,174
0.27470359206199646,175
0.26811614632606506,176
0.27386245131492615,177
0.28725871443748474,178
0.28376904129981995,179
0.2756337821483612,180
0.2962300479412079,181
0.2752701938152313,182
0.2862708866596222,183
0.28491270542144775,184
0.273238867521286,185
0.2716312110424042,186
0.2953237295150757,187
0.2747180461883545,188
0.28944143652915955,189
0.2908502221107483,190
0.27897560596466064,191
0.2887845039367676,192
0.30039799213409424,193
0.3072226941585541,194
0.27905845642089844,195
0.29310888051986694,196
0.2896310091018677,197
0.2996027171611786,198
0.32134929299354553,199
0.31388312578201294,200
0.28552496433258057,201
0.29497939348220825,202
0.3116784691810608,203
0.3074532151222229,204
0.337872177362442,205
0.32836392521858215,206
0.30761048197746277,207
0.3363571763038635,208
0.30378419160842896,209
0.31512898206710815,210
0.32874900102615356,211
0.33765822649002075,212
0.3324901759624481,213
0.32227379083633423,214
0.32264795899391174,215
0.298762708902359,216
0.3210691809654236,217
0.30020418763160706,218
0.3191544711589813,219
0.3241879940032959,220
0.31282541155815125,221
0.3160746395587921,222
0.2979806363582611,223
0.3233627378940582,224
0.278152197599411,225
0.3001689016819,226
0.30488938093185425,227
0.29118263721466064,228
0.3022143840789795,229
0.2948301136493683,230
0.2733485996723175,231
0.260360985994339,232
0.2824777066707611,233
0.28792911767959595,234
0.2587870657444,235
0.27173274755477905,236
0.26883411407470703,237
0.29188278317451477,238
0.2889886200428009,239
0.2703271508216858,240
0.27358630299568176,241
0.2933346927165985,242
0.2852350175380707,243
0.2777978479862213,244
0.2891886532306671,245
0.2911597788333893,246
0.2921844720840454,247
0.27695685625076294,248
0.2849161922931671,249
0.2987731397151947,250
0.28387245535850525,251
0.2952626049518585,252
0.28063076734542847,253
0.2992135286331177,254
